id,horizon,mean_relative_mse,mean_mse,median_mse,q90_mse,median_relative_mse,q90_relative_mse,best_relative_mse
adam_N128_s1_individual_moment9_801dd4a939d5,100000,4.877642123426919e-06,4.877936393734544e-06,1.8118116591188739e-06,1.069169389531626e-05,1.8117023583139325e-06,1.069104889960544e-05,1.4741530369606284e-06
adam_N128_s0_neighbor_mixed_e17c9e6899c0,100000,4.9291559209753105e-06,4.929155920975309e-06,3.0946926413049633e-06,9.536337807941321e-06,3.094692641304964e-06,9.536337807941325e-06,1.1709038137334184e-06
gd_N128_s0_neighbor_sine_f39e04bc5592,100000,4.976091265593755e-06,4.976091265593755e-06,4.958888563863563e-06,5.3919264248825975e-06,4.958888563863563e-06,5.3919264248825975e-06,4.481679068940903e-06
gd_N128_s0_neighbor_sine_06b071989a99,100000,4.981897581812835e-06,4.981897581812835e-06,4.964644913650183e-06,5.398777842046774e-06,4.964644913650183e-06,5.398777842046774e-06,4.486252807335538e-06
adam_N128_s1_neighbor_sine_9f410f628b0d,100000,5.06255532871803e-06,5.06255532871803e-06,1.473232596060094e-06,1.2639938444898724e-05,1.473232596060094e-06,1.2639938444898724e-05,8.663542531167953e-07
adam_N1024_s1_individual_moment9_8ac3b830a28b,100000,5.136702561158504e-06,5.13701246069697e-06,8.972433797416983e-08,1.5242750064669508e-05,8.971892519171309e-08,1.5241830518289946e-05,7.136834577879936e-08
adam_N512_s4_neighbor_moment5_ec25c126509d,100000,5.142179989255335e-06,5.14224352090043e-06,2.3300675832888583e-07,1.486707249182483e-05,2.330038795654405e-07,1.4866888811380813e-05,2.7478021535869683e-08
adam_N1024_s1_collective_mixed_8a8cf271c1be,100000,5.197557801619639e-06,5.197557801619638e-06,3.189923466415101e-07,1.4604607968051751e-05,3.1899234664151016e-07,1.4604607968051753e-05,3.278096218494536e-08
adam_N512_s0_neighbor_moment9_201f0af0e751,100000,5.247839531662333e-06,5.248156136143405e-06,2.4795316299798007e-07,1.4672671204608411e-05,2.479382047763752e-07,1.4671786049263906e-05,1.4050580139342788e-08
adam_N1024_s0_neighbor_moment9_6d6162a674ae,100000,5.271343014909652e-06,5.27166103736627e-06,2.482539505797551e-08,1.578211720308327e-05,2.4823897421259705e-08,1.5781165118408635e-05,5.714527327162203e-09
