bundle,target,seed,kappa,step,scaled_hessian_max,scaled_hessian_min,largest_mode_update_eigenvalue,readout_l2,top_mode_slope_fraction,top_mode_hidden_bias_fraction,top_mode_readout_fraction,top_mode_output_bias_fraction
core_N128_s0,sine,0,1.0,20000,0.01018896506608163,-3.214403915027387e-06,0.9898110349339184,1.4637867620168592,2.9840410933965586e-05,0.4073809408073763,0.39630256147857734,0.19628665730311165
core_N128_s0,sine,0,100.0,20000,0.6145662702591013,-2.4871904450369762e-05,0.38543372974089873,1.5940837276731774,5.169599357476617e-07,0.008018084898446232,0.6665579809006148,0.32542341724100454
core_N128_s0,runge,0,1.0,20000,0.010144760530801735,-1.861411311313139e-05,0.9898552394691983,1.4504777015446504,3.2014576525875314e-05,0.4015362712405323,0.4012842195097016,0.19714749467324008
core_N128_s0,runge,0,100.0,20000,0.6819215155134172,-0.00020359604186623095,0.3180784844865828,4.697581957198379,5.3892583650929946e-05,0.05838881415686693,0.648369084742446,0.29318820851703625
core_N128_s0,moment3,0,1.0,20000,0.01037997113201874,-1.3990361129280932e-05,0.9896200288679813,1.49389901708543,2.5718094486641486e-05,0.4169875347424254,0.3903142394022239,0.1926725077608643
core_N128_s0,moment3,0,100.0,20000,0.6225673754920849,-0.00019224290342909794,0.37743262450791515,2.680641880119149,1.892291535079381e-06,0.022262581730069647,0.6565032641974474,0.32123226178094866
core_N128_s0,moment5,0,1.0,20000,0.010340299387679596,-1.9302117361530068e-07,0.9896597006123204,1.4879286333971846,2.6813409222025483e-05,0.41502073070048895,0.3915420521663463,0.1934104037239419
core_N128_s0,moment5,0,100.0,20000,0.6138424694626677,-4.3251094094419056e-07,0.38615753053733226,1.5083160269510654,4.145506947902028e-07,0.007193008903232536,0.6669997162765804,0.32580686026949257
core_N128_s0,moment9,0,1.0,20000,0.010340468669737188,-3.1042594085089103e-08,0.9896595313302629,1.4879505117459941,2.6803076197325685e-05,0.41502765430074406,0.39153829055354206,0.1934072520695171
core_N128_s0,moment9,0,100.0,20000,0.6138431967208744,-1.208060195728249e-07,0.3861568032791256,1.5081187291775426,4.1378985112696017e-07,0.007191137101504357,0.6670019912823955,0.3258064578262497
core_N128_s0,sine,0,1.0,100000,0.010212691189119391,-3.580017551402806e-06,0.9897873088108806,1.4656129175086863,2.7134431428862458e-05,0.407732233934644,0.39641033336870246,0.19583029826522538
core_N128_s0,sine,0,100.0,100000,0.7059191456788243,-3.230832773605254e-05,0.2940808543211757,8.312769322112837,8.1933705361102e-06,0.14067152930690838,0.576104806791097,0.28321547053145685
core_N128_s0,runge,0,1.0,100000,0.011616065738079658,-4.800942728685739e-05,0.9883839342619204,1.6247911424269639,0.0007397427096957876,0.4156755983468471,0.4115214353219162,0.17206322362154144
core_N128_s0,runge,0,100.0,100000,0.7076826256761654,-1.617550788048589e-05,0.29231737432383464,5.3982946991974705,0.0003955707458223905,0.0663481435113461,0.6512971953432684,0.2819590903995638
