444|440_0|COMPLETED|1506|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|2026-09-19T09:22:07|2026-09-19T09:47:13
440|440_1|COMPLETED|1460|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|2026-09-19T09:22:07|2026-09-19T09:46:27
441|441|COMPLETED|205|billing=8,cpu=8,mem=96G,node=1|2026-09-19T09:22:07|2026-09-19T09:25:32
443|443|COMPLETED|177|billing=8,cpu=8,mem=96G,node=1|2026-09-19T09:47:13|2026-09-19T09:50:10
445|445_[0-1%2]|CANCELLED by 1003|0||2026-09-19T09:35:17|2026-09-19T09:35:17
446|446|CANCELLED by 1003|0||2026-09-19T09:35:17|2026-09-19T09:35:17
451|447_0|COMPLETED|1626|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|2026-09-19T09:47:13|2026-09-19T10:14:19
447|447_1|COMPLETED|1652|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|2026-09-19T09:47:13|2026-09-19T10:14:45
448|448|COMPLETED|262|billing=8,cpu=8,mem=96G,node=1|2026-09-19T10:14:45|2026-09-19T10:19:07
449|449|COMPLETED|12|billing=8,cpu=8,mem=96G,node=1|2026-09-19T09:41:10|2026-09-19T09:41:22
450|450|COMPLETED|6|billing=8,cpu=8,mem=96G,node=1|2026-09-19T10:19:07|2026-09-19T10:19:13
452|452|COMPLETED|1|billing=2,cpu=2,mem=4G,node=1|2026-09-19T09:57:13|2026-09-19T09:57:14
453|453|COMPLETED|9|billing=8,cpu=8,mem=96G,node=1|2026-09-19T10:19:13|2026-09-19T10:19:22
454|454|COMPLETED|51|billing=8,cpu=8,mem=32G,node=1|2026-09-19T10:07:40|2026-09-19T10:08:31
456|455_0|COMPLETED|999|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|2026-09-19T10:17:05|2026-09-19T10:33:44
455|455_1|COMPLETED|1006|billing=4,cpu=4,gres/gpu=1,mem=64G,node=1|2026-09-19T10:17:05|2026-09-19T10:33:51
457|457|COMPLETED|92|billing=8,cpu=8,mem=96G,node=1|2026-09-19T10:33:51|2026-09-19T10:35:23
458|458|COMPLETED|9|billing=8,cpu=8,mem=96G,node=1|2026-09-19T10:35:23|2026-09-19T10:35:32
459|459|COMPLETED|174|billing=2,cpu=2,mem=4G,node=1|2026-09-19T10:33:51|2026-09-19T10:36:45
460|460|COMPLETED|36|billing=8,cpu=8,mem=64G,node=1|2026-09-19T10:40:35|2026-09-19T10:41:11
462|462|COMPLETED|32|billing=8,cpu=8,mem=64G,node=1|2026-09-19T10:45:57|2026-09-19T10:46:29
466|466|FAILED|10|billing=8,cpu=8,mem=64G,node=1|2026-09-19T11:09:32|2026-09-19T11:09:42
467|467|COMPLETED|10|billing=8,cpu=8,mem=64G,node=1|2026-09-19T11:14:45|2026-09-19T11:14:55
