target,width,seed,policy,policy_label,fork_age,endpoint_age,pulse_updates,spacing,native_fine_path,intervention_fine_path,native_endpoint_rms,intervention_endpoint_rms,native_endpoint_bandwidth,intervention_endpoint_bandwidth,fine_path_ratio,slope_effect_percent
bump_right,705,30,gain_only,Scalar amplification,130000,140000,10000,0.00390625,1.4338750355896581,22.359469472221395,1.9503207951088162,1.9512474379194469,0.007618440605893813,0.007622060304372839,15.593736495333028,0.047512327867016424
bump_right,705,30,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.00390625,1.4338750355896581,105.12011663463794,1.9503207951088162,1.9305339573342104,0.007618440605893813,0.007541148270836759,73.31190935436642,-1.0145427267262308
bump_right,705,31,gain_only,Scalar amplification,130000,140000,10000,0.00390625,1.8208177158757444,25.896197055680283,1.9151625279771936,1.9183253402513794,0.007481103624910912,0.007493458360356951,14.22228970527409,0.16514589378096023
bump_right,705,31,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.00390625,1.8208177158757444,61.645725112292986,1.9151625279771936,1.9234467307414007,0.007481103624910912,0.0075134637919585965,33.85606619202061,0.432558732911148
bump_right,1409,30,gain_only,Scalar amplification,130000,140000,10000,0.001953125,1.34145536229351,13.331839802803492,1.2742701186468215,1.2748220375985757,0.0024888088254820732,0.002489886792184718,9.938340236688763,0.04331255545255708
bump_right,1409,30,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.001953125,1.34145536229351,139.39663412454385,1.2742701186468215,1.2644571830855285,0.0024888088254820732,0.0024696429357139228,103.91447829185681,-0.7700828433231721
bump_right,1409,31,gain_only,Scalar amplification,130000,140000,10000,0.001953125,1.206066401155818,12.778986562916506,1.303600271937879,1.3045421456435742,0.00254609428112867,0.002547933878210106,10.595591213443912,0.07225172669649282
bump_right,1409,31,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.001953125,1.206066401155818,67.6604482677297,1.303600271937879,1.2947609712591999,0.00254609428112867,0.0025288300219906247,56.10010211949209,-0.6780683365107731
gauss_left,705,30,gain_only,Scalar amplification,130000,140000,10000,0.00390625,0.5708441296897732,30.887832488058972,0.5522071906782604,0.5489753391783748,0.0021570593385869547,0.0021444349186655266,54.109048129907286,-0.5852606692636542
gauss_left,705,30,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.00390625,0.5708441296897732,61.21949011475436,0.5522071906782604,0.5596876382048099,0.0021570593385869547,0.002186279836737539,107.24379376209801,1.3546450775770325
gauss_left,705,31,gain_only,Scalar amplification,130000,140000,10000,0.00390625,0.6123935769646881,40.744562514718,0.599370841728735,0.6135882097673289,0.002341292350502871,0.0023968289444036284,66.53329500395367,2.3720486631594317
gauss_left,705,31,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.00390625,0.6123935769646881,82.24516044671847,0.599370841728735,0.6429468538421457,0.002341292350502871,0.0025115111478208815,134.30114805312678,7.270292293119662
gauss_left,1409,30,gain_only,Scalar amplification,130000,140000,10000,0.001953125,0.6560338698044814,36.723377012531856,0.3506487351352791,0.3469418308171177,0.000684860810811092,0.000677620763314683,55.97786745900264,-1.0571560501227206
gauss_left,1409,30,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.001953125,0.6560338698044814,445.45938582096636,0.3506487351352791,0.356276408505482,0.000684860810811092,0.0006958523603622695,679.0188835124125,1.6049318894681752
gauss_left,1409,31,gain_only,Scalar amplification,130000,140000,10000,0.001953125,0.6832492308654134,32.48360891946869,0.3828314088730039,0.38255329786049863,0.0007477175954550857,0.0007471744098837864,47.542840082416895,-0.07264581903662082
gauss_left,1409,31,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.001953125,0.6832492308654134,44.43377575255733,0.3828314088730039,0.3872523747216457,0.0007477175954550857,0.0007563522943782143,65.03304174419173,1.1548075069536479
kink_abs,705,30,gain_only,Scalar amplification,130000,140000,10000,0.00390625,0.4950208034726198,3.5378900729065355,0.5218647904021683,0.5805163621332536,0.00203853433750847,0.002267642039583022,7.146952306020045,11.238844392220116
kink_abs,705,30,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.00390625,0.4950208034726198,3.104856686854059,0.5218647904021683,0.5683979330718273,0.00203853433750847,0.0022203044260618253,6.272174149193696,8.916704772092189
kink_abs,705,31,gain_only,Scalar amplification,130000,140000,10000,0.00390625,0.39077018356017557,3.037515499614017,0.5577104533224655,0.6006383390856047,0.002178556458290881,0.0023462435120531434,7.7731506327843025,7.6971635563586105
kink_abs,705,31,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.00390625,0.39077018356017557,2.666553477808532,0.5577104533224655,0.592107509157252,0.002178556458290881,0.0023129199576455155,6.823840686908251,6.167547269353091
kink_abs,1409,30,gain_only,Scalar amplification,130000,140000,10000,0.001953125,0.5893056907276427,3.634705369109382,0.44434288004948636,0.4866369979502986,0.000867857187596653,0.0009504628866216769,6.167775784790819,9.51835166034436
kink_abs,1409,30,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.001953125,0.5893056907276427,3.475155266217429,0.44434288004948636,0.4841967407515907,0.000867857187596653,0.0009456967592804506,5.897033273047976,8.969168291312734
kink_abs,1409,31,gain_only,Scalar amplification,130000,140000,10000,0.001953125,0.4989682661718514,3.2791267959339385,0.38422117547185813,0.43376828288032404,0.0007504319833434729,0.0008472036775006329,6.571814318156584,12.895465052809119
