bundle,target,seed,n,degree,kappa,step,sample_half_mse,moment_or_stored_half_mse,loss_discrepancy,fraction_preactivation_above_half,fraction_preactivation_above_one,fraction_preactivation_above_radius,gram_aa,gram_bb,gram_cc,gram_ab,gram_ac,gram_bc,Kq_00,Kq_11,Kv_00,Kv_01,Kv_11,Vv_0,Vv_1,Vq_0,Vq_1,Vbias_0,Vbias_1,Vv_coarse_energy_removal,Vq_coarse_energy_removal,Vbias_coarse_energy_removal,sample_gradient_error,coarse_discrete_derivative_error,pointwise_p2_error,pointwise_p2_bound,pointwise_p4_error,pointwise_p4_bound,pointwise_p6_error,pointwise_p6_bound,pointwise_p8_error,pointwise_p8_bound,tanh_at_reference_slope_gradient_defect,tanh_at_reference_half_mse
refine_N128_s0,sine,0,128,0,0.0001,0,0.4056670259299588,0.4056670259299588,0.0,0.0,0.0,0.0,1.8404546904769437,2.089572202110835,2.158505360265765,-0.0258956305587491,0.42199921143539143,-0.34997450052950024,2.158505360265765,0.7195016152126612,3.089572202110835,-0.014950847491648664,0.6134847505594504,0.0001064098691030309,-3.11957230473734e-05,0.7248972683339588,-0.3572801631912342,3.469146511198842e-05,0.0,5.3040200730332963e-05,0.43615547184289094,1.2034977516163095e-05,1.1939758769471066e-15,2.0527336985304975e-06,0.0050410833490470855,0.02628285786269287,5.3795071806212244e-05,0.0005274973235097544,5.737937908385994e-07,9.433570763461157e-06,6.261761329095236e-09,1.5863793516721147e-07,,
refine_N128_s0,sine,0,128,0,0.001,0,0.4056670259299588,0.4056670259299588,0.0,0.0,0.0,0.0,1.8404546904769437,2.089572202110835,2.158505360265765,-0.0258956305587491,0.42199921143539143,-0.34997450052950024,2.158505360265765,0.7195016152126612,3.089572202110835,-0.014950847491648664,0.6134847505594504,0.001064098691030309,-0.000311957230473734,0.7248972683339588,-0.3572801631912342,0.00034691465111988417,0.0,0.0005304020073033296,0.43615547184289094,0.00012034977516163095,1.1939758769471066e-15,1.9767978897700175e-06,0.0050410833490470855,0.02628285786269287,5.3795071806212244e-05,0.0005274973235097544,5.737937908385994e-07,9.433570763461157e-06,6.261761329095236e-09,1.5863793516721147e-07,,
refine_N128_s0,sine,0,128,0,0.01,0,0.4056670259299588,0.4056670259299588,0.0,0.0,0.0,0.0,1.8404546904769437,2.089572202110835,2.158505360265765,-0.0258956305587491,0.42199921143539143,-0.34997450052950024,2.158505360265765,0.7195016152126612,3.089572202110835,-0.014950847491648664,0.6134847505594504,0.01064098691030309,-0.0031195723047373397,0.7248972683339588,-0.3572801631912342,0.0034691465111988417,0.0,0.005304020073033296,0.43615547184289094,0.0012034977516163095,1.1939758769471066e-15,1.253187959419388e-06,0.0050410833490470855,0.02628285786269287,5.3795071806212244e-05,0.0005274973235097544,5.737937908385994e-07,9.433570763461157e-06,6.261761329095236e-09,1.5863793516721147e-07,,
refine_N128_s0,sine,0,128,0,0.1,0,0.4056670259299588,0.4056670259299588,0.0,0.0,0.0,0.0,1.8404546904769437,2.089572202110835,2.158505360265765,-0.0258956305587491,0.42199921143539143,-0.34997450052950024,2.158505360265765,0.7195016152126612,3.089572202110835,-0.014950847491648664,0.6134847505594504,0.10640986910303091,-0.0311957230473734,0.7248972683339588,-0.3572801631912342,0.034691465111988416,0.0,0.05304020073033296,0.43615547184289094,0.012034977516163095,1.1939758769471066e-15,7.103453100057582e-06,0.0050410833490470855,0.02628285786269287,5.3795071806212244e-05,0.0005274973235097544,5.737937908385994e-07,9.433570763461157e-06,6.261761329095236e-09,1.5863793516721147e-07,,
refine_N128_s0,sine,0,128,0,1.0,0,0.4056670259299588,0.4056670259299588,0.0,0.0,0.0,0.0,1.8404546904769437,2.089572202110835,2.158505360265765,-0.0258956305587491,0.42199921143539143,-0.34997450052950024,2.158505360265765,0.7195016152126612,3.089572202110835,-0.014950847491648664,0.6134847505594504,1.064098691030309,-0.31195723047373397,0.7248972683339588,-0.3572801631912342,0.3469146511198842,0.0,0.5304020073033296,0.43615547184289094,0.12034977516163095,1.1939758769471066e-15,8.812179381511597e-05,0.0050410833490470855,0.02628285786269287,5.3795071806212244e-05,0.0005274973235097544,5.737937908385994e-07,9.433570763461157e-06,6.261761329095236e-09,1.5863793516721147e-07,,
refine_N128_s0,sine,0,128,0,10.0,0,0.4056670259299588,0.4056670259299588,0.0,0.0,0.0,0.0,1.8404546904769437,2.089572202110835,2.158505360265765,-0.0258956305587491,0.42199921143539143,-0.34997450052950024,2.158505360265765,0.7195016152126612,3.089572202110835,-0.014950847491648664,0.6134847505594504,10.64098691030309,-3.1195723047373396,0.7248972683339588,-0.3572801631912342,3.4691465111988418,0.0,5.304020073033296,0.43615547184289094,1.2034977516163095,1.1939758769471066e-15,0.0008986244781419481,0.0050410833490470855,0.02628285786269287,5.3795071806212244e-05,0.0005274973235097544,5.737937908385994e-07,9.433570763461157e-06,6.261761329095236e-09,1.5863793516721147e-07,,
refine_N128_s0,sine,0,128,0,100.0,0,0.4056670259299588,0.4056670259299588,0.0,0.0,0.0,0.0,1.8404546904769437,2.089572202110835,2.158505360265765,-0.0258956305587491,0.42199921143539143,-0.34997450052950024,2.158505360265765,0.7195016152126612,3.089572202110835,-0.014950847491648664,0.6134847505594504,106.4098691030309,-31.1957230473734,0.7248972683339588,-0.3572801631912342,34.69146511198842,0.0,53.04020073033296,0.43615547184289094,12.034977516163098,1.1939758769471066e-15,0.009003676454711214,0.0050410833490470855,0.02628285786269287,5.3795071806212244e-05,0.0005274973235097544,5.737937908385994e-07,9.433570763461157e-06,6.261761329095236e-09,1.5863793516721147e-07,,
refine_N128_s0,runge,0,128,0,0.0001,0,0.2630439757781652,0.2630439757781652,0.0,0.0,0.0,0.0,1.8404546904769437,2.089572202110835,2.158505360265765,-0.0258956305587491,0.42199921143539143,-0.34997450052950024,2.158505360265765,0.7195016152126612,3.089572202110835,-0.014950847491648664,0.6134847505594504,0.00018990332752436023,-1.5172484202473267e-05,1.3023649002221358,-0.16570887821783684,6.215948074479715e-05,0.0,0.00012170305244009312,0.8495179959180675,3.863801046462807e-05,1.7014754525305098e-15,3.7145952316237434e-06,0.0023857642246859477,0.02628285786269287,2.6433021147129223e-05,0.0005274973235097544,3.0364866179872365e-07,9.433570763461157e-06,3.5750211998322282e-09,1.5863793516721147e-07,,
refine_N128_s0,runge,0,128,0,0.001,0,0.2630439757781652,0.2630439757781652,0.0,0.0,0.0,0.0,1.8404546904769437,2.089572202110835,2.158505360265765,-0.0258956305587491,0.42199921143539143,-0.34997450052950024,2.158505360265765,0.7195016152126612,3.089572202110835,-0.014950847491648664,0.6134847505594504,0.001899033275243602,-0.00015172484202473265,1.3023649002221358,-0.16570887821783684,0.0006215948074479715,0.0,0.0012170305244009311,0.8495179959180675,0.00038638010464628076,1.7014754525305098e-15,3.5917180679326094e-06,0.0023857642246859477,0.02628285786269287,2.6433021147129223e-05,0.0005274973235097544,3.0364866179872365e-07,9.433570763461157e-06,3.5750211998322282e-09,1.5863793516721147e-07,,
refine_N128_s0,runge,0,128,0,0.01,0,0.2630439757781652,0.2630439757781652,0.0,0.0,0.0,0.0,1.8404546904769437,2.089572202110835,2.158505360265765,-0.0258956305587491,0.42199921143539143,-0.34997450052950024,2.158505360265765,0.7195016152126612,3.089572202110835,-0.014950847491648664,0.6134847505594504,0.018990332752436022,-0.0015172484202473266,1.3023649002221358,-0.16570887821783684,0.006215948074479715,0.0,0.012170305244009312,0.8495179959180675,0.003863801046462807,1.7014754525305098e-15,2.518290347882109e-06,0.0023857642246859477,0.02628285786269287,2.6433021147129223e-05,0.0005274973235097544,3.0364866179872365e-07,9.433570763461157e-06,3.5750211998322282e-09,1.5863793516721147e-07,,
refine_N128_s0,runge,0,128,0,0.1,0,0.2630439757781652,0.2630439757781652,0.0,0.0,0.0,0.0,1.8404546904769437,2.089572202110835,2.158505360265765,-0.0258956305587491,0.42199921143539143,-0.34997450052950024,2.158505360265765,0.7195016152126612,3.089572202110835,-0.014950847491648664,0.6134847505594504,0.18990332752436023,-0.015172484202473267,1.3023649002221358,-0.16570887821783684,0.06215948074479715,0.0,0.12170305244009312,0.8495179959180675,0.03863801046462807,1.7014754525305098e-15,1.3515508002519703e-05,0.0023857642246859477,0.02628285786269287,2.6433021147129223e-05,0.0005274973235097544,3.0364866179872365e-07,9.433570763461157e-06,3.5750211998322282e-09,1.5863793516721147e-07,,
refine_N128_s0,runge,0,128,0,1.0,0,0.2630439757781652,0.2630439757781652,0.0,0.0,0.0,0.0,1.8404546904769437,2.089572202110835,2.158505360265765,-0.0258956305587491,0.42199921143539143,-0.34997450052950024,2.158505360265765,0.7195016152126612,3.089572202110835,-0.014950847491648664,0.6134847505594504,1.899033275243602,-0.15172484202473266,1.3023649002221358,-0.16570887821783684,0.6215948074479715,0.0,1.2170305244009312,0.8495179959180675,0.3863801046462807,1.7014754525305098e-15,0.00016167037630815596,0.0023857642246859477,0.02628285786269287,2.6433021147129223e-05,0.0005274973235097544,3.0364866179872365e-07,9.433570763461157e-06,3.5750211998322282e-09,1.5863793516721147e-07,,
refine_N128_s0,runge,0,128,0,10.0,0,0.2630439757781652,0.2630439757781652,0.0,0.0,0.0,0.0,1.8404546904769437,2.089572202110835,2.158505360265765,-0.0258956305587491,0.42199921143539143,-0.34997450052950024,2.158505360265765,0.7195016152126612,3.089572202110835,-0.014950847491648664,0.6134847505594504,18.99033275243602,-1.5172484202473266,1.3023649002221358,-0.16570887821783684,6.215948074479715,0.0,12.170305244009311,0.8495179959180675,3.8638010464628074,1.7014754525305098e-15,0.001644633915204544,0.0023857642246859477,0.02628285786269287,2.6433021147129223e-05,0.0005274973235097544,3.0364866179872365e-07,9.433570763461157e-06,3.5750211998322282e-09,1.5863793516721147e-07,,
