bundle,n,seed,degree,left,right,kappa,count,last_step,last_signed_mean_gamma_difference,last_slope_gradient_difference,last_slope_parameter_difference,last_coarse_residual_difference,max_abs_signed_mean_gamma_difference,max_abs_slope_gradient_difference,max_abs_slope_parameter_difference,max_abs_coarse_residual_difference
refine_N128_s0,128,0,0,moment3,moment9,0.0001,74,199980,-0.002253739459615975,0.0017046156531950725,0.32539030626761306,0.0024013122461285685,0.002383481893740408,0.002708396217984387,0.32539030626761306,0.002710128130200122
refine_N128_s0,128,0,0,moment3,moment9,0.001,74,199980,-0.0022507606794752166,0.0017054086491148882,0.3254100504330625,0.002400717240501478,0.0023810711576026655,0.002708396217984387,0.3254100504330625,0.0027091266863371296
refine_N128_s0,128,0,0,moment3,moment9,0.01,74,199980,-0.0022215041801624674,0.0017133428534432977,0.32561145750412984,0.0023948315721695956,0.0023573807435217087,0.002708396217984387,0.32561145750412984,0.0026991858609066253
refine_N128_s0,128,0,0,moment3,moment9,0.1,74,199980,-0.0019342090735881001,0.0017932986438083877,0.3279654033244469,0.00234237119273966,0.0022191644496277613,0.002708396217984387,0.3279654033244469,0.0026067035528731667
refine_N128_s0,128,0,0,moment3,moment9,1.0,74,199980,-0.0004996871902646083,0.0028558692693462597,0.3650084084661943,0.0022838525633472628,0.001823640926241002,0.0028558692693462597,0.3650084084661943,0.0022838525633472628
refine_N128_s0,128,0,0,moment3,moment9,10.0,74,199980,0.05192131033548837,0.005701599472364343,1.9121296428957515,0.0011580769861748036,0.05192131033548837,0.15949419367981413,2.0817513996603623,0.029752558304016016
refine_N128_s0,128,0,0,moment3,moment9,100.0,74,199980,0.030718579962098896,0.0012131947602200422,1.095500716139136,0.0001629820516450436,0.030718579962098896,0.24298817055086297,1.3999278825286297,0.01637543278885618
refine_N128_s0,128,0,0,moment5,moment9,0.0001,74,199980,3.66571195151294e-05,1.1609175462955951e-05,0.0023112166066277247,1.0009541831505165e-05,3.66571195151294e-05,1.1609175462955951e-05,0.0023112166066277247,1.0009541831505165e-05
refine_N128_s0,128,0,0,moment5,moment9,0.001,74,199980,3.66441505306736e-05,1.1607620501527839e-05,0.0023109168836313834,1.0003561068088483e-05,3.66441505306736e-05,1.1607620501527839e-05,0.0023109168836313834,1.0003561068088483e-05
refine_N128_s0,128,0,0,moment5,moment9,0.01,74,199980,3.65168327475518e-05,1.1592323806182307e-05,0.0023079675222269272,9.944362439495835e-06,3.65168327475518e-05,1.1592323806182307e-05,0.0023079675222269272,9.944362439495835e-06
refine_N128_s0,128,0,0,moment5,moment9,0.1,74,199980,3.6690348330578604e-05,1.1460699318378757e-05,0.002282521635303308,9.406567155019554e-06,3.6690348330578604e-05,1.1460699318378757e-05,0.002282521635303308,9.406567155019554e-06
refine_N128_s0,128,0,0,moment5,moment9,1.0,74,199980,3.4432217109359176e-05,1.0935956055928042e-05,0.0021799784147571,6.627063477784375e-06,3.4432217109359176e-05,1.0935956055928042e-05,0.0021799784147571,6.627063477784375e-06
refine_N128_s0,128,0,0,moment5,moment9,10.0,74,199980,3.439034307502198e-05,1.0608320023846508e-05,0.0021153956728782756,3.6437831581802167e-06,3.439034307502198e-05,1.065071098336416e-05,0.0021153956728782756,3.644155912273993e-06
refine_N128_s0,128,0,0,moment5,moment9,100.0,74,199980,3.458838338739334e-05,1.061359976659628e-05,0.002110942095951685,3.002315772941016e-06,3.458838338739334e-05,1.0708886515205225e-05,0.002110942095951685,3.0311932008846016e-06
refine_N128_s0,128,0,1,moment3,moment9,0.0001,74,199980,0.0,4.077820055754735e-17,7.93652194343392e-16,4.807407289046552e-17,2.7755575615628914e-17,8.366003554272718e-17,7.93652194343392e-16,1.46868708652284e-16
refine_N128_s0,128,0,1,moment3,moment9,0.001,74,199980,0.0,4.0779257900719786e-17,7.773261062713679e-16,4.807407289046552e-17,1.3877787807814457e-17,8.366003554272718e-17,7.773261062713679e-16,1.46868708652284e-16
refine_N128_s0,128,0,1,moment3,moment9,0.01,74,199980,0.0,4.0789661085325174e-17,8.141622944773374e-16,4.807407289046552e-17,2.7755575615628914e-17,8.366003554272718e-17,8.142375824454468e-16,1.46868708652284e-16
refine_N128_s0,128,0,1,moment3,moment9,0.1,74,199980,0.0,4.08794317296873e-17,1.3944353434736244e-15,4.807407289046552e-17,2.7755575615628914e-17,8.366003554272718e-17,1.3944353434736244e-15,1.46868708652284e-16
refine_N128_s0,128,0,1,moment3,moment9,1.0,74,199980,0.0,6.0666035863877e-31,8.54834718320624e-16,0.0,1.3877787807814457e-17,8.366003554272718e-17,8.54834718320624e-16,1.46868708652284e-16
refine_N128_s0,128,0,1,moment3,moment9,10.0,74,199980,0.0,4.170492011993366e-17,1.4587032671757507e-16,4.807407289046552e-17,1.3877787807814457e-17,8.443543320792796e-17,1.4587032671757507e-16,1.46868708652284e-16
refine_N128_s0,128,0,1,moment3,moment9,100.0,74,199980,0.0,4.180787479642467e-17,6.530786080365483e-17,7.3434354326142e-17,0.0,8.491099439032166e-17,6.55905575895909e-17,1.46868708652284e-16
refine_N128_s0,128,0,1,moment5,moment9,0.0001,74,199980,0.0,8.15564011150947e-17,8.043500008517194e-16,9.614814578093104e-17,2.7755575615628914e-17,1.6518271493909297e-16,8.045317703247143e-16,2.93737417304568e-16
refine_N128_s0,128,0,1,moment5,moment9,0.001,74,199980,0.0,7.587284063396386e-33,1.2358937494876421e-15,0.0,2.7755575615628914e-17,1.6518271493909297e-16,1.2370797638327206e-15,2.93737417304568e-16
refine_N128_s0,128,0,1,moment5,moment9,0.01,74,199980,-1.3877787807814457e-17,8.157932217065034e-17,9.30828395413887e-16,9.614814578093104e-17,2.7755575615628914e-17,1.6518271493909297e-16,9.30828395413887e-16,2.93737417304568e-16
refine_N128_s0,128,0,1,moment5,moment9,0.1,74,199980,0.0,1.8698042398664865e-31,8.020918559396969e-16,0.0,2.7755575615628914e-17,1.6518271493909297e-16,8.181541645015889e-16,2.93737417304568e-16
refine_N128_s0,128,0,1,moment5,moment9,1.0,74,199980,0.0,5.136119290939474e-31,7.418212362694854e-16,0.0,2.7755575615628914e-17,2.0255269042211963e-16,7.418212362694854e-16,2.93737417304568e-16
refine_N128_s0,128,0,1,moment5,moment9,10.0,74,199980,0.0,3.202929778577832e-31,1.5521599007163036e-16,0.0,1.3877787807814457e-17,1.6518271493909297e-16,1.5521599007163036e-16,2.93737417304568e-16
refine_N128_s0,128,0,1,moment5,moment9,100.0,74,199980,0.0,2.3091226548452334e-32,4.039988114128221e-17,0.0,0.0,1.6627498968877692e-16,4.039988114128221e-17,2.2204462477736986e-16
refine_N128_s0,128,0,3,moment3,moment9,0.0001,74,199980,-0.0017296553143656551,0.0020535219905161283,0.35219471549745757,0.0026054307320071135,0.0021810064648655203,0.002866406076955379,0.35219471549745757,0.002863945807402149
refine_N128_s0,128,0,3,moment3,moment9,0.001,74,199980,-0.0017262184505968253,0.0020549695132114766,0.3522383093335979,0.0026049877918139334,0.002178974390012939,0.002866406076955379,0.3522383093335979,0.0028628919024262026
refine_N128_s0,128,0,3,moment3,moment9,0.01,74,199980,-0.0016923862803268908,0.0020694720232132535,0.35267846493811994,0.0026006316614728686,0.0021590215188898726,0.002866406076955379,0.35267846493811994,0.0028524274357383107
