bundle,target,seed,n,degree,kappa,count,last_step,last_loss_discrepancy,last_sample_gradient_error,last_fraction_preactivation_above_radius,last_coarse_discrete_derivative_error,last_tanh_at_reference_slope_gradient_defect,max_abs_loss_discrepancy,max_abs_sample_gradient_error,max_abs_fraction_preactivation_above_radius,max_abs_coarse_discrete_derivative_error,pointwise_p2_checks,pointwise_p2_violations,pointwise_p2_max_error_bound_ratio,pointwise_p4_checks,pointwise_p4_violations,pointwise_p4_max_error_bound_ratio,pointwise_p6_checks,pointwise_p6_violations,pointwise_p6_max_error_bound_ratio,pointwise_p8_checks,pointwise_p8_violations,pointwise_p8_max_error_bound_ratio,max_abs_tanh_at_reference_slope_gradient_defect
refine_N128_s0,sine,0,128,0,0.0001,74,199980,0.0,2.1643326036317887e-16,0.0,1.3333313202131636e-12,,1.1102230246251565e-16,1.3388798263128545e-15,0.0,2.0527336985304975e-06,74,0,0.19180118750338174,74,0,0.10198169622602356,74,0,0.06082466599615305,74,0,0.03947202995610766,
refine_N128_s0,sine,0,128,0,0.001,74,199980,2.7755575615628914e-17,1.927743133700044e-16,0.0,1.3849320291528338e-12,,1.1102230246251565e-16,1.3002406603130583e-15,0.0,1.9767978897700175e-06,74,0,0.19180118750338174,74,0,0.10198169622602356,74,0,0.06082466599615305,74,0,0.03947202995610766,
refine_N128_s0,sine,0,128,0,0.01,74,199980,0.0,2.003818187424768e-16,0.0,1.4009211395388527e-12,,5.551115123125783e-17,1.2823557163666169e-15,0.0,1.253187959419388e-06,74,0,0.19180118750338174,74,0,0.10198169622602356,74,0,0.06082466599615305,74,0,0.03947202995610766,
refine_N128_s0,sine,0,128,0,0.1,74,199980,0.0,2.024713251779575e-16,0.0,1.6678497860240788e-12,,5.551115123125783e-17,1.2530877034416743e-15,0.0,7.103453100057582e-06,74,0,0.19180118750338174,74,0,0.10198169622602356,74,0,0.06082466599615305,74,0,0.03947202995610766,
refine_N128_s0,sine,0,128,0,1.0,74,199980,0.0,2.2083896201476596e-16,0.0,3.2856139554891124e-12,,5.551115123125783e-17,1.3086200000214207e-15,0.0,8.812179381511597e-05,74,0,0.19209362178490566,74,0,0.10198815904288662,74,0,0.06082466599615305,74,0,0.03947202995610766,
refine_N128_s0,sine,0,128,0,10.0,74,199980,-2.7755575615628914e-17,2.2837808396268496e-16,0.0,2.4564428194463393e-10,,5.551115123125783e-17,1.2137168059226512e-15,0.0,0.0008986244781419481,74,0,0.19292863983318445,74,0,0.10230265961720392,74,0,0.06084097555194329,74,0,0.03947202995610766,
refine_N128_s0,sine,0,128,0,100.0,74,199980,0.0,6.208507795569875e-16,0.0,7.472360234184689e-07,,5.551115123125783e-17,1.1939758769471066e-15,0.0,0.009003676454711214,74,0,0.1938323701838892,74,0,0.10267802439599097,74,0,0.06082466599615305,74,0,0.03947202995610766,
refine_N128_s0,runge,0,128,0,0.0001,74,199980,0.0,1.5456005475741983e-16,0.0,3.6564217690579586e-10,,5.551115123125783e-17,1.7827589924891315e-15,0.0,3.7145952316237434e-06,74,0,0.11759213019784313,74,0,0.06363180996979587,74,0,0.03930496006490421,74,0,0.026168979851323233,
refine_N128_s0,runge,0,128,0,0.001,74,199980,0.0,1.408852285377333e-16,0.0,3.626089128774367e-10,,5.551115123125783e-17,1.8673865047910217e-15,0.0,3.5917180679326094e-06,74,0,0.11761492604521531,74,0,0.06364393081326027,74,0,0.03931221237986215,74,0,0.026174347405848213,
refine_N128_s0,runge,0,128,0,0.01,74,199980,0.0,1.314489418913304e-16,0.0,3.3093371236888206e-10,,5.551115123125783e-17,1.7248880394979944e-15,0.0,2.518290347882109e-06,74,0,0.11783873725940801,74,0,0.06376295538673782,74,0,0.039383430795398335,74,0,0.026227345368803397,
refine_N128_s0,runge,0,128,0,0.1,74,199980,-6.938893903907228e-18,1.498161046233911e-16,0.0,5.630348255711834e-11,,5.551115123125783e-17,1.8103400091287352e-15,0.0,1.3515508002519703e-05,74,0,0.11966821837233249,74,0,0.06473787768518725,74,0,0.04003638381243592,74,0,0.026689361526770573,
refine_N128_s0,runge,0,128,0,1.0,74,199980,0.0,1.460997878287295e-16,0.0,1.1001857858500485e-08,,5.551115123125783e-17,1.799027441535383e-15,0.0,0.00016167037630815596,74,0,0.12723897784686714,74,0,0.06921897709992747,74,0,0.04323804171259608,74,0,0.029119576679189223,
refine_N128_s0,runge,0,128,0,10.0,74,199980,0.0,2.6476888977530684e-16,0.0,1.3920302527415852e-09,,5.551115123125783e-17,1.7014754525305098e-15,0.0,0.001644633915204544,74,0,0.13336427804186443,74,0,0.07304836663180027,74,0,0.04612545937214593,74,0,0.03149788674265115,
refine_N128_s0,runge,0,128,0,100.0,74,199980,0.0,4.2570649761025313e-16,0.0,1.0084418618778011e-08,,1.3877787807814457e-17,1.7014754525305098e-15,0.0,0.01647438477240899,74,0,0.1383913425305185,74,0,0.07588094354579722,74,0,0.04799118912146231,74,0,0.03283557397249284,
refine_N128_s0,moment3,0,128,0,0.0001,74,199980,-5.551115123125783e-17,3.5384468678433e-16,0.0,1.1141693424993362e-11,,1.1102230246251565e-16,1.2290115396379615e-15,0.0,2.7382887037610963e-06,74,0,0.148373772924306,74,0,0.11618497789299805,74,0,0.08727016783224997,74,0,0.06597548610728068,
refine_N128_s0,moment3,0,128,0,0.001,74,199980,5.551115123125783e-17,3.7542898494572795e-16,0.0,1.0701664900290528e-11,,2.220446049250313e-16,1.3678381999529325e-15,0.0,2.6570861018778144e-06,74,0,0.14837940781277176,74,0,0.11618831673597657,74,0,0.08727423751853887,74,0,0.06598043328652366,
refine_N128_s0,moment3,0,128,0,0.01,74,199980,0.0,3.2125597396223307e-16,0.0,9.683167481003116e-12,,1.1102230246251565e-16,1.2355378779357503e-15,0.0,1.9708461173795793e-06,74,0,0.14843432717300914,74,0,0.1162205889281699,74,0,0.08731407399727013,74,0,0.06602922291767124,
refine_N128_s0,moment3,0,128,0,0.1,74,199980,0.0,3.3447950675540056e-16,0.0,1.7730410822843773e-11,,1.1102230246251565e-16,1.279074191294534e-15,0.0,9.62587855640351e-06,74,0,0.14885005789308264,74,0,0.11660049922399793,74,0,0.08770481803463308,74,0,0.06645377290924483,
refine_N128_s0,moment3,0,128,0,1.0,74,199980,-5.551115123125783e-17,3.802734973543027e-16,0.0,1.3621752730197285e-09,,1.1102230246251565e-16,1.2298586675316208e-15,0.0,0.00011416475935806648,74,0,0.15122943650646872,74,0,0.11842453616843326,74,0,0.0895156832076312,74,0,0.06838292225634228,
refine_N128_s0,moment3,0,128,0,10.0,74,199980,1.3877787807814457e-17,3.2448128861365e-16,0.0011089777542372882,4.423492870137067e-08,,1.1102230246251565e-16,1.0943021771045066e-15,0.0015282927259887005,0.0011609319994337482,74,0,0.15363282988562266,74,0,0.12018910374302913,74,0,0.09087172654216226,74,0,0.06953475733067248,
refine_N128_s0,moment3,0,128,0,100.0,74,199980,7.806255641895632e-18,2.3543357255016373e-15,0.0,1.6246340302450942e-08,,1.1102230246251565e-16,2.3543357255016373e-15,0.0,0.011628717687644653,74,0,0.15511865254302049,74,0,0.12118407526112022,74,0,0.091561834440405,74,0,0.07049757366423569,
refine_N128_s0,moment5,0,128,0,0.0001,74,199980,0.0,2.343993139176092e-16,0.0,1.3146119864546452e-13,,1.1102230246251565e-16,1.4298890595817976e-15,0.0,2.729472000271244e-06,74,0,0.04017776314573118,74,0,0.04184099651504876,74,0,0.040916082707938735,74,0,0.037037803207082304,
refine_N128_s0,moment5,0,128,0,0.001,74,199980,-1.1102230246251565e-16,2.0075372013483822e-16,0.0,2.0354633982789817e-13,,2.220446049250313e-16,1.4654463539371255e-15,0.0,2.6485013414944028e-06,74,0,0.04017776314573118,74,0,0.04184303425520825,74,0,0.04091853473483627,74,0,0.037040541341065665,
refine_N128_s0,moment5,0,128,0,0.01,74,199980,0.0,2.063845543235372e-16,0.0,1.443244258530646e-13,,1.1102230246251565e-16,1.4037989128222627e-15,0.0,1.9649621882970797e-06,74,0,0.04017776314573118,74,0,0.04186323314178556,74,0,0.0409427431982305,74,0,0.03706759976770218,
refine_N128_s0,moment5,0,128,0,0.1,74,199980,5.551115123125783e-17,2.148651545512345e-16,0.0,6.685637288127833e-14,,1.1102230246251565e-16,1.4772872010664797e-15,0.0,9.614364201602914e-06,74,0,0.04018563654901751,74,0,0.042047689585512395,74,0,0.04115481879951314,74,0,0.03730766635459891,
refine_N128_s0,moment5,0,128,0,1.0,74,199980,0.0,2.073077684487952e-16,0.0,2.470627001330123e-13,,1.1102230246251565e-16,1.3849928099190474e-15,0.0,0.00011397000154631407,74,0,0.04054792459223851,74,0,0.042999916565940786,74,0,0.04220555689830692,74,0,0.038444887558590456,
refine_N128_s0,moment5,0,128,0,10.0,74,199980,0.0,2.334411717659693e-16,0.0,7.796978317695406e-14,,1.1102230246251565e-16,1.3605656729182565e-15,0.0,0.0011589020741070983,74,0,0.04126461118028438,74,0,0.04395541736543634,74,0,0.04307461382373918,74,0,0.03933834454224246,
refine_N128_s0,moment5,0,128,0,100.0,74,199980,0.0,2.125028721257556e-16,0.0,1.9657973627887314e-13,,1.1102230246251565e-16,1.3605656729182565e-15,0.0,0.011608335921805341,74,0,0.04177653016858177,74,0,0.044580865219058755,74,0,0.04370943340163767,74,0,0.0397026546250828,
refine_N128_s0,moment9,0,128,0,0.0001,74,199980,0.0,1.0949227296359599e-16,0.0,1.7137404958694314e-13,,1.1102230246251565e-16,1.2533358693150474e-15,0.0,2.7295013425638265e-06,74,0,0.040526587380074974,74,0,0.02235529698872783,74,0,0.014195133741206288,74,0,0.010551427527768518,
refine_N128_s0,moment9,0,128,0,0.001,74,199980,0.0,1.1441426824975196e-16,0.0,5.608024811409087e-14,,1.1102230246251565e-16,1.3061647636724177e-15,0.0,2.6485298664085293e-06,74,0,0.040526587380074974,74,0,0.02235529698872783,74,0,0.014195133741206288,74,0,0.010551427527768518,
refine_N128_s0,moment9,0,128,0,0.01,74,199980,5.551115123125783e-17,1.2455223229311986e-16,0.0,1.2610995006036228e-14,,2.220446049250313e-16,1.2634693135400375e-15,0.0,1.9649805437739023e-06,74,0,0.040526587380074974,74,0,0.02235529698872783,74,0,0.014195133741206288,74,0,0.010551427527768518,
refine_N128_s0,moment9,0,128,0,0.1,74,199980,0.0,1.1695617559254817e-16,0.0,1.1361984753384868e-13,,1.1102230246251565e-16,1.263042706871551e-15,0.0,9.614378816387397e-06,74,0,0.040539135544024295,74,0,0.02235529698872783,74,0,0.014195133741206288,74,0,0.010551427527768518,
refine_N128_s0,moment9,0,128,0,1.0,74,199980,0.0,1.2043671043789791e-16,0.0,7.440403891701066e-14,,1.1102230246251565e-16,1.3137264277867484e-15,0.0,0.00011397044613256199,74,0,0.04092278608622389,74,0,0.0225155488958014,74,0,0.014252311122774057,74,0,0.010609410648598624,
