bundle,target,n,seed,degree,kappa,actual_contrast,predicted_contrast,contrast_error
refine_N128_s0,sine,128,0,0,0.0001,-0.0033781839816931225,-0.0033781839816931225,0.0
refine_N128_s0,sine,128,0,0,0.001,-0.0033725309613525933,-0.0033725309613525933,0.0
refine_N128_s0,sine,128,0,0,0.01,-0.0033168830546645017,-0.0033168830546645017,0.0
refine_N128_s0,sine,128,0,0,0.1,-0.0028251929818857713,-0.0028251929818857713,0.0
refine_N128_s0,sine,128,0,0,1.0,0.0,0.0,0.0
refine_N128_s0,sine,128,0,0,10.0,0.001868874709679183,0.001868874709679183,0.0
refine_N128_s0,sine,128,0,0,100.0,0.0200043440939916,0.0200043440939916,0.0
refine_N128_s0,runge,128,0,0,0.0001,-0.005001355500664231,-0.005001355500664231,0.0
refine_N128_s0,runge,128,0,0,0.001,-0.004996420881599545,-0.004996420881599545,0.0
refine_N128_s0,runge,128,0,0,0.01,-0.004947405343062358,-0.004947405343062358,0.0
refine_N128_s0,runge,128,0,0,0.1,-0.004486784452873108,-0.004486784452873108,0.0
refine_N128_s0,runge,128,0,0,1.0,0.0,0.0,0.0
refine_N128_s0,runge,128,0,0,10.0,0.007583172072366293,0.007583172072366293,0.0
refine_N128_s0,runge,128,0,0,100.0,0.0016879507120430431,0.0016879507120430431,0.0
refine_N128_s0,moment3,128,0,0,0.0001,-0.0003105804440442783,-0.0003105804440442783,0.0
refine_N128_s0,moment3,128,0,0,0.001,-0.0003101275667855702,-0.0003101275667855702,0.0
refine_N128_s0,moment3,128,0,0,0.01,-0.0003059260468971786,-0.0003059260468971786,0.0
refine_N128_s0,moment3,128,0,0,0.1,-0.0002461215191428001,-0.0002461215191428001,0.0
refine_N128_s0,moment3,128,0,0,1.0,0.0,0.0,0.0
refine_N128_s0,moment3,128,0,0,10.0,0.05087804685142849,0.05087804685142849,0.0
refine_N128_s0,moment3,128,0,0,100.0,0.029322021296049133,0.029322021296049133,0.0
refine_N128_s0,moment5,128,0,0,0.0001,0.0014462807811612827,0.0014462807811612827,0.0
refine_N128_s0,moment5,128,0,0,0.001,0.0014437410564643455,0.0014437410564643455,0.0
refine_N128_s0,moment5,128,0,0,0.01,0.0014185503119258785,0.0014185503119258785,0.0
refine_N128_s0,moment5,128,0,0,0.1,0.0011912406662360209,0.0011912406662360209,0.0
refine_N128_s0,moment5,128,0,0,1.0,0.0,0.0,0.0
refine_N128_s0,moment5,128,0,0,10.0,-0.0015441492031094406,-0.0015441492031094406,0.0
refine_N128_s0,moment5,128,0,0,100.0,-0.0018958106955510867,-0.0018958106955510867,0.0
refine_N128_s0,moment9,128,0,0,0.0001,0.001444055663346308,0.001444055663346308,0.0
refine_N128_s0,moment9,128,0,0,0.001,0.0014415289089238642,0.0014415289089238642,0.0
refine_N128_s0,moment9,128,0,0,0.01,0.0014164654948307653,0.0014164654948307653,0.0
