target,kappa,seed,n,m,eta_geometry,eta_readout,bundle,degree,requested_end,trace_states,completed_updates,failed_update,complete,checkpoint_step,initial_mean_gamma,mean_gamma,median_gamma,mean_lambda,signed_mean_change,last_preupdate_mse,window_mean_mse,window_median_mse,heldout_mse,heldout_relative_l2,initial_coarse_norm,last_coarse_norm,normalized_slope_gradient,cumulative_coarse_motion,cumulative_remainder_motion,cumulative_crossing_remainder,recorded_signed_motion,loss_increases,max_preactivation,first_radius_exceedance,descent_ratio_floor,descent_ratio_count,descent_ratio_min,descent_ratio_median,coarse_10pct_step,coarse_10pct_persists20,coarse_10pct_mean_gamma,coarse_1pct_step,coarse_1pct_persists20,coarse_1pct_mean_gamma,fraction_gamma_1,fraction_gamma_1_population0.1_step,fraction_gamma_1_population0.5_step,fraction_gamma_4,fraction_gamma_4_population0.1_step,fraction_gamma_4_population0.5_step,fraction_gamma_16,fraction_gamma_16_population0.1_step,fraction_gamma_16_population0.5_step,fraction_lambda_005,fraction_lambda_005_population0.1_step,fraction_lambda_005_population0.5_step,fraction_lambda_01,fraction_lambda_01_population0.1_step,fraction_lambda_01_population0.5_step,fraction_lambda_025,fraction_lambda_025_population0.1_step,fraction_lambda_025_population0.5_step
sine,0.0001,0,128,2048,0.001,1.0000000000000001e-07,refine_N128_s0,0,200000,200000,200000,0,True,200000,0.08804407411763386,0.08177394472118525,0.07501958770005081,0.0012777178862685196,-0.006270129396448609,0.42437340128729245,0.42437985333899,0.4243798280564559,0.4243736392384693,0.9212748115936626,0.6225231050928665,0.0006563849377468639,0.0008640249299495614,-0.0023461811355861336,-0.003925396038565847,1.447777703380278e-06,-0.0062701293964486,0,0.406364732045598,,1e-24,199999,0.9992536340525894,0.9999993332585547,3059,True,0.08460644843715884,6538,True,0.08469429624330337,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.001,0,128,2048,0.001,1e-06,refine_N128_s0,0,200000,200000,200000,0,True,200000,0.08804407411763386,0.08177959774152578,0.07509769962311859,0.0012778062147113403,-0.00626447637610808,0.42437329856679185,0.42437975081395796,0.4243797255266799,0.4243735365182141,0.9212747000957033,0.6225231050928665,0.0006564935222233687,0.0008639705028714126,-0.002341534013418952,-0.003924797184532324,1.8548218431834819e-06,-0.006264476376108094,0,0.4063243570008672,,1e-24,199999,0.9992525284193251,0.9999993333227992,3057,True,0.08461147437729896,6533,True,0.08469866792536702,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.01,0,128,2048,0.001,1e-05,refine_N128_s0,0,200000,200000,200000,0,True,200000,0.08804407411763386,0.08183524564821387,0.07587441734212808,0.0012786757132533418,-0.0062088284694199886,0.424372261765156,0.4243787158640492,0.42437869053098387,0.4243724997191215,0.9212735746987661,0.6225231050928665,0.000657529813559564,0.0008634156034748259,-0.002291704021013134,-0.003918750897361851,1.6264489550009392e-06,-0.0062088284694199825,0,0.40592194672127074,,1e-24,199999,0.9992414794996008,0.9999993317903539,3036,True,0.08466095216555804,6487,True,0.08474156582374913,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.1,0,128,2048,0.001,0.0001,refine_N128_s0,0,200000,200000,200000,0,True,200000,0.08804407411763386,0.0823269357209926,0.07699070324597151,0.0012863583706405094,-0.005717138396641258,0.42436113042796053,0.42436759533072616,0.4243675696884076,0.4243613684148649,0.9212614921018515,0.6225231050928665,0.0006635174211408687,0.0008571080622502651,-0.0018651569185229068,-0.0038538470285031973,1.8655503848299496e-06,-0.005717138396641274,0,0.40203788693123754,,1e-24,199999,0.9991316513807078,0.9999993168386833,2838,True,0.08508588111679771,6054,True,0.08518943748062581,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,1.0,0,128,2048,0.001,0.001,refine_N128_s0,0,200000,200000,200000,0,True,200000,0.08804407411763386,0.08515212870287837,0.08912317087365511,0.0013305020109824746,-0.002891945414755487,0.4242568612216894,0.4242633037217813,0.4242632808557635,0.4242570996511271,0.9211483047274496,0.6225231050928665,0.000587405649090884,0.0008112845650204804,0.0003535675761487905,-0.003246880465328257,1.3674744239696989e-06,-0.002891945414755497,0,0.38255461540592206,,1e-24,199999,0.9980632314651484,0.999999306193582,1685,True,0.08668733896180655,3563,True,0.08695820692079018,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,10.0,0,128,2048,0.001,0.01,refine_N128_s0,0,200000,200000,200000,0,True,200000,0.08804407411763386,0.08702100341255756,0.08812161799929914,0.0013597031783212118,-0.0010230707050763038,0.42404991517933,0.42406136360667795,0.4240614205456438,0.4240501539407908,0.9209236167465691,0.6225231050928665,0.0004498665159435875,0.0008779888045108648,0.0011858828963394212,-0.002209044849179964,9.12477642301195e-08,-0.0010230707050763125,0,0.36410468997721546,,1e-24,199999,0.987608611492353,0.9999999473511533,321,True,0.08784103412516614,677,True,0.08791283697850256,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,100.0,0,128,2048,0.001,0.1,refine_N128_s0,0,200000,200000,200000,0,True,200000,0.08804407411763386,0.10515647279686997,0.09965510328534465,0.0016430698874510933,0.017112398679236113,0.3132450525724126,0.3664859843320866,0.37299185256235357,0.31324502578380076,0.7915112453829077,0.6225231050928665,0.00042052534841607663,0.037595606856782794,0.009726204505728166,0.007386191458609576,2.7148983521178947e-09,0.017112398679236092,0,1.2977932068698945,,1e-24,199999,0.8832723619359393,1.00000438081698,35,True,0.08802394427442388,73,True,0.08803219700804292,0.005649717514124294,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.0001,0,128,2048,0.001,1.0000000000000001e-07,refine_N128_s0,0,200000,200000,200000,0,True,200000,0.08804407411763386,0.09324816594164177,0.07895308658423261,0.0014570025928381527,0.0052040918240079115,0.07732321153702604,0.07763137070859662,0.07763570720758725,0.07732317916389382,0.7027476498663765,0.6667640510156251,0.0008906940379499669,0.012918235696264864,-0.002860312844076288,0.008063731924625905,6.72743458289703e-07,0.005204091824007905,0,0.7054530145336841,,1e-24,199999,0.9989891221089011,1.0000016736487134,1874,True,0.08553195766528339,5158,True,0.08510647642025398,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.001,0,128,2048,0.001,1e-06,refine_N128_s0,0,200000,200000,200000,0,True,200000,0.08804407411763386,0.09325310056070646,0.07895491141736154,0.0014570796962610384,0.005209026443072598,0.07731811979808154,0.0776271614412039,0.07763152380778808,0.07731808732412074,0.702724511026359,0.6667640510156251,0.0008923266411972413,0.012933261297417904,-0.0028565353594559306,0.008064981287269849,5.80515258664935e-07,0.005209026443072585,0,0.7057909053090117,,1e-24,199999,0.9989876683919449,1.0000016763907587,1873,True,0.08553348016336006,5154,True,0.08510887803493819,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.01,0,128,2048,0.001,1e-05,refine_N128_s0,0,200000,200000,200000,0,True,200000,0.08804407411763386,0.09330211609924365,0.07897271377703285,0.001457845564050682,0.0052580419816097845,0.07726698434068308,0.07758494673670015,0.07758957325577848,0.07726695084623333,0.7024920893430314,0.6667640510156251,0.0009089100977751321,0.013084243292904986,-0.0028202202384872022,0.00807770700313768,5.552169592913728e-07,0.005258041981609767,0,0.7091591429683384,,1e-24,199999,0.9989731469987886,1.0000017039591944,1859,True,0.08555002350982158,5119,True,0.08513257162146472,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
