bundle,target,n,seed,degree,kappa,actual_contrast,predicted_contrast,contrast_error
core_N128_s0,moment5,128,0,1,0.1,0.0011913028526968766,0.0011586169595358825,-3.268589316099413e-05
core_N128_s0,moment5,128,0,1,1.0,0.0,0.0,0.0
core_N128_s0,moment5,128,0,1,10.0,-0.0015443662000040326,-0.0014941403738226305,5.0225826181402033e-05
core_N128_s0,moment5,128,0,1,100.0,-0.0018960947738650702,-0.001835613838017905,6.0480935847165296e-05
core_N128_s0,moment9,128,0,1,0.0001,0.0014441046713981887,0.001404280950296391,-3.982372110179766e-05
core_N128_s0,moment9,128,0,1,0.001,0.0014415781125362015,0.0014018736829361778,-3.970442960002374e-05
core_N128_s0,moment9,128,0,1,0.01,0.001416516579233168,0.0013780045025946486,-3.851207663851941e-05
core_N128_s0,moment9,128,0,1,0.1,0.0011890447147836908,0.0011586169595358825,-3.0427755247808275e-05
core_N128_s0,moment9,128,0,1,1.0,0.0,0.0,0.0
core_N128_s0,moment9,128,0,1,10.0,-0.00154432372293202,-0.0014941403738226028,5.018334910941724e-05
core_N128_s0,moment9,128,0,1,100.0,-0.0018962501954469108,-0.001835613838017905,6.063635742900586e-05
core_N128_s0,sine,128,0,3,0.0001,-0.0033767746273713345,-0.003424442271642722,-4.766764427138748e-05
core_N128_s0,sine,128,0,3,0.001,-0.00337112376333866,-0.00341930043727158,-4.8176673932920355e-05
core_N128_s0,sine,128,0,3,0.01,-0.0033154972513252112,-0.0033687324355935605,-5.323518426834928e-05
core_N128_s0,sine,128,0,3,0.1,-0.002824007406744794,-0.0028660623624096743,-4.205495566488027e-05
core_N128_s0,sine,128,0,3,1.0,0.0,0.0,0.0
core_N128_s0,sine,128,0,3,10.0,0.001867309855338825,0.0019495494076037928,8.223955226496771e-05
core_N128_s0,sine,128,0,3,100.0,0.020001456915500163,0.016345314184898554,-0.003656142730601608
core_N128_s0,runge,128,0,3,0.0001,-0.005000035875555947,-0.005106727245876991,-0.0001066913703210437
core_N128_s0,runge,128,0,3,0.001,-0.004995102688482453,-0.005098794459770614,-0.00010369177128816132
core_N128_s0,runge,128,0,3,0.01,-0.004946101399138009,-0.005019602423136427,-7.350102399841796e-05
core_N128_s0,runge,128,0,3,0.1,-0.004485616449169547,-0.004217117552050884,0.00026849889711866304
core_N128_s0,runge,128,0,3,1.0,0.0,0.0,0.0
core_N128_s0,runge,128,0,3,10.0,0.0075841294207352195,-0.0006367049874769215,-0.008220834408212141
core_N128_s0,runge,128,0,3,100.0,0.0016891353406090354,-0.0020563884492663387,-0.003745523789875374
core_N128_s0,moment3,128,0,3,0.0001,-0.00031011777408321284,-0.0011909227708424008,-0.000880804996759188
core_N128_s0,moment3,128,0,3,0.001,-0.0003096654664384024,-0.0011900046166211237,-0.0008803391501827212
core_N128_s0,moment3,128,0,3,0.01,-0.0003054696055825312,-0.0011811571170251,-0.0008756875114425688
core_N128_s0,moment3,128,0,3,0.1,-0.0002457190776023743,-0.001089894233771524,-0.0008441751561691496
core_N128_s0,moment3,128,0,3,1.0,0.0,0.0,0.0
core_N128_s0,moment3,128,0,3,10.0,0.050878011272232196,0.0181233794399676,-0.0327546318322646
core_N128_s0,moment3,128,0,3,100.0,0.0293223859430867,0.018061751660883904,-0.011260634282202794
core_N128_s0,moment5,128,0,3,0.0001,0.0014463293761008272,0.0014421827303561507,-4.1466457446764915e-06
core_N128_s0,moment5,128,0,3,0.001,0.001443789849274249,0.001439663816927908,-4.126032346341013e-06
core_N128_s0,moment5,128,0,3,0.01,0.0014186010080192712,0.0014146770726809477,-3.923935338323581e-06
core_N128_s0,moment5,128,0,3,0.1,0.0011913028526968766,0.001187630404435383,-3.6724482614935994e-06
core_N128_s0,moment5,128,0,3,1.0,0.0,0.0,0.0
core_N128_s0,moment5,128,0,3,10.0,-0.0015443662000040326,-0.0015444928647900813,-1.2666478604872466e-07
core_N128_s0,moment5,128,0,3,100.0,-0.0018960947738650702,-0.0018964583954084319,-3.6362154336166963e-07
core_N128_s0,moment9,128,0,3,0.0001,0.0014441046713981887,0.0014421827303561785,-1.9219410420101557e-06
core_N128_s0,moment9,128,0,3,0.001,0.0014415781125362015,0.0014396638169278803,-1.914295608321237e-06
core_N128_s0,moment9,128,0,3,0.01,0.001416516579233168,0.0014146770726809477,-1.8395065522203158e-06
core_N128_s0,moment9,128,0,3,0.1,0.0011890447147836908,0.001187630404435383,-1.4143103483077457e-06
core_N128_s0,moment9,128,0,3,1.0,0.0,0.0,0.0
core_N128_s0,moment9,128,0,3,10.0,-0.00154432372293202,-0.0015444928647900813,-1.6914185806127247e-07
core_N128_s0,moment9,128,0,3,100.0,-0.0018962501954469108,-0.0018964583954084319,-2.0819996152110498e-07
core_N128_s0,sine,128,0,5,0.0001,-0.0033767746273713345,-0.0033735633409113785,3.211286459955942e-06
core_N128_s0,sine,128,0,5,0.001,-0.00337112376333866,-0.00336791986396609,3.2038993725697074e-06
core_N128_s0,sine,128,0,5,0.01,-0.0033154972513252112,-0.003312367403775246,3.129847549965259e-06
core_N128_s0,sine,128,0,5,0.1,-0.002824007406744794,-0.00282148754452613,2.5198622186639597e-06
core_N128_s0,sine,128,0,5,1.0,0.0,0.0,0.0
core_N128_s0,sine,128,0,5,10.0,0.001867309855338825,0.0018632441038587272,-4.065751480097912e-06
core_N128_s0,sine,128,0,5,100.0,0.020001456915500163,0.030440906155263042,0.01043944923976288
core_N128_s0,runge,128,0,5,0.0001,-0.005000035875555947,-0.004447119137301614,0.0005529167382543332
core_N128_s0,runge,128,0,5,0.001,-0.004995102688482453,-0.004442449800500292,0.0005526528879821607
core_N128_s0,runge,128,0,5,0.01,-0.004946101399138009,-0.0043960943426407245,0.0005500070564972842
core_N128_s0,runge,128,0,5,0.1,-0.004485616449169547,-0.003962855321959502,0.0005227611272100446
core_N128_s0,runge,128,0,5,1.0,0.0,0.0,0.0
core_N128_s0,runge,128,0,5,10.0,0.0075841294207352195,0.018469376474924082,0.010885247054188862
core_N128_s0,runge,128,0,5,100.0,0.0016891353406090354,0.006130431981506021,0.004441296640896986
core_N128_s0,moment3,128,0,5,0.0001,-0.00031011777408321284,-0.0002704377144048392,3.9680059678373625e-05
core_N128_s0,moment3,128,0,5,0.001,-0.0003096654664384024,-0.00027003240627725134,3.963306016115109e-05
core_N128_s0,moment3,128,0,5,0.01,-0.0003054696055825312,-0.0002663028880710294,3.91667175115018e-05
core_N128_s0,moment3,128,0,5,0.1,-0.0002457190776023743,-0.0002081026512206069,3.761642638176743e-05
core_N128_s0,moment3,128,0,5,1.0,0.0,0.0,0.0
core_N128_s0,moment3,128,0,5,10.0,0.050878011272232196,0.06784613757698317,0.016968126304750974
core_N128_s0,moment3,128,0,5,100.0,0.0293223859430867,0.0555933747226955,0.026270988779608803
core_N128_s0,moment5,128,0,5,0.0001,0.0014463293761008272,0.0014469981442148117,6.687681139844193e-07
core_N128_s0,moment5,128,0,5,0.001,0.001443789849274249,0.0014444560032425974,6.661539683483486e-07
core_N128_s0,moment5,128,0,5,0.01,0.0014186010080192712,0.0014192415081979298,6.405001786585762e-07
core_N128_s0,moment5,128,0,5,0.1,0.0011913028526968766,0.0011918756569359035,5.728042390268362e-07
core_N128_s0,moment5,128,0,5,1.0,0.0,0.0,0.0
core_N128_s0,moment5,128,0,5,10.0,-0.0015443662000040326,-0.0015445517408289866,-1.8554082495403357e-07
core_N128_s0,moment5,128,0,5,100.0,-0.0018960947738650702,-0.001896112432477226,-1.765861215585751e-08
core_N128_s0,moment9,128,0,5,0.0001,0.0014441046713981887,0.0014442369654165121,1.3229401832348664e-07
core_N128_s0,moment9,128,0,5,0.001,0.0014415781125362015,0.0014417099613052708,1.3184876906935372e-07
core_N128_s0,moment9,128,0,5,0.01,0.001416516579233168,0.0014166440682916448,1.2748905847681513e-07
core_N128_s0,moment9,128,0,5,0.1,0.0011890447147836908,0.0011891417157642858,9.700098059506335e-08
core_N128_s0,moment9,128,0,5,1.0,0.0,0.0,0.0
core_N128_s0,moment9,128,0,5,10.0,-0.00154432372293202,-0.0015443421667383633,-1.844380634330456e-08
core_N128_s0,moment9,128,0,5,100.0,-0.0018962501954469108,-0.0018962710191453014,-2.0823698390626255e-08
core_N128_s0,sine,128,0,7,0.0001,-0.0033767746273713345,-0.003376960181379951,-1.855540086165286e-07
core_N128_s0,sine,128,0,7,0.001,-0.00337112376333866,-0.003371308919476984,-1.851561383242606e-07
core_N128_s0,sine,128,0,7,0.01,-0.0033154972513252112,-0.003315678428804092,-1.811774788806897e-07
core_N128_s0,sine,128,0,7,0.1,-0.002824007406744794,-0.0028241549635864838,-1.4755684168976657e-07
core_N128_s0,sine,128,0,7,1.0,0.0,0.0,0.0
core_N128_s0,sine,128,0,7,10.0,0.001867309855338825,0.0018675092840727409,1.99428733915763e-07
core_N128_s0,sine,128,0,7,100.0,0.020001456915500163,0.01814620745844457,-0.001855249457055591
core_N128_s0,runge,128,0,7,0.0001,-0.005000035875555947,-0.005209432757884755,-0.00020939688232880782
core_N128_s0,runge,128,0,7,0.001,-0.004995102688482453,-0.005204448915672025,-0.00020934622718957185
core_N128_s0,runge,128,0,7,0.01,-0.004946101399138009,-0.005154936379286504,-0.0002088349801484951
core_N128_s0,runge,128,0,7,0.1,-0.004485616449169547,-0.004688839480712054,-0.0002032230315425071
core_N128_s0,runge,128,0,7,1.0,0.0,0.0,0.0
core_N128_s0,runge,128,0,7,10.0,0.0075841294207352195,0.006314690265073336,-0.0012694391556618834
core_N128_s0,runge,128,0,7,100.0,0.0016891353406090354,0.0025302035824100594,0.000841068241801024
core_N128_s0,moment3,128,0,7,0.0001,-0.00031011777408321284,-0.0003129201600000492,-2.8023859168363474e-06
core_N128_s0,moment3,128,0,7,0.001,-0.0003096654664384024,-0.00031246512464180864,-2.799658203406219e-06
core_N128_s0,moment3,128,0,7,0.01,-0.0003054696055825312,-0.00030824214504185377,-2.7725394593225428e-06
core_N128_s0,moment3,128,0,7,0.1,-0.0002457190776023743,-0.000248392422418392,-2.6733448160176643e-06
core_N128_s0,moment3,128,0,7,1.0,0.0,0.0,0.0
core_N128_s0,moment3,128,0,7,10.0,0.050878011272232196,0.029781675932135654,-0.021096335340096542
core_N128_s0,moment3,128,0,7,100.0,0.0293223859430867,0.02269568922840369,-0.006626696714683009
core_N128_s0,moment5,128,0,7,0.0001,0.0014463293761008272,0.001446297554119902,-3.18219809253284e-08
core_N128_s0,moment5,128,0,7,0.001,0.001443789849274249,0.00144375821222624,-3.163704800912548e-08
core_N128_s0,moment5,128,0,7,0.01,0.0014186010080192712,0.0014185711757396524,-2.98322796188355e-08
core_N128_s0,moment5,128,0,7,0.1,0.0011913028526968766,0.0011912764303801254,-2.6422316751206765e-08
core_N128_s0,moment5,128,0,7,1.0,0.0,0.0,0.0
core_N128_s0,moment5,128,0,7,10.0,-0.0015443662000040326,-0.0015443688526958488,-2.6526918162073088e-09
core_N128_s0,moment5,128,0,7,100.0,-0.0018960947738650702,-0.0018961131523338587,-1.8378468788493585e-08
core_N128_s0,moment9,128,0,7,0.0001,0.0014441046713981887,0.0014440975047969873,-7.16660120136936e-09
core_N128_s0,moment9,128,0,7,0.001,0.0014415781125362015,0.0014415709694529932,-7.1430832082608475e-09
core_N128_s0,moment9,128,0,7,0.01,0.001416516579233168,0.0014165096663253107,-6.912907857259398e-09
core_N128_s0,moment9,128,0,7,0.1,0.0011890447147836908,0.0011890394954790912,-5.219304599624053e-09
core_N128_s0,moment9,128,0,7,1.0,0.0,0.0,0.0
core_N128_s0,moment9,128,0,7,10.0,-0.00154432372293202,-0.0015443223241769638,1.3987550562255535e-09
core_N128_s0,moment9,128,0,7,100.0,-0.0018962501954469108,-0.0018962485940590135,1.6013878972875872e-09
core_N128_s1,sine,128,1,0,0.0001,0.0010852113884462083,0.0010852113884462083,0.0
core_N128_s1,sine,128,1,0,0.001,0.0010835898083530332,0.0010835898083530332,0.0
core_N128_s1,sine,128,1,0,0.01,0.0010673459837147875,0.0010673459837147875,0.0
core_N128_s1,sine,128,1,0,0.1,0.000903860754860597,0.000903860754860597,0.0
core_N128_s1,sine,128,1,0,1.0,0.0,0.0,0.0
core_N128_s1,sine,128,1,0,10.0,-1.3364336197599358e-05,-1.3364336197599358e-05,0.0
core_N128_s1,sine,128,1,0,100.0,0.016779499096477607,0.016779499096477607,0.0
core_N128_s1,runge,128,1,0,0.0001,-0.0023789143056168055,-0.0023789143056168055,0.0
core_N128_s1,runge,128,1,0,0.001,-0.0023774879136825855,-0.0023774879136825855,0.0
core_N128_s1,runge,128,1,0,0.01,-0.002363109731221072,-0.002363109731221072,0.0
core_N128_s1,runge,128,1,0,0.1,-0.002208976498429119,-0.002208976498429119,0.0
core_N128_s1,runge,128,1,0,1.0,0.0,0.0,0.0
core_N128_s1,runge,128,1,0,10.0,0.006828401042253102,0.006828401042253102,0.0
core_N128_s1,runge,128,1,0,100.0,0.005088632249684269,0.005088632249684269,0.0
