bundle,target,seed,n,degree,kappa,count,last_step,last_loss_discrepancy,last_sample_gradient_error,last_fraction_preactivation_above_radius,last_coarse_discrete_derivative_error,last_tanh_at_reference_slope_gradient_defect,max_abs_loss_discrepancy,max_abs_sample_gradient_error,max_abs_fraction_preactivation_above_radius,max_abs_coarse_discrete_derivative_error,pointwise_p2_checks,pointwise_p2_violations,pointwise_p2_max_error_bound_ratio,pointwise_p4_checks,pointwise_p4_violations,pointwise_p4_max_error_bound_ratio,pointwise_p6_checks,pointwise_p6_violations,pointwise_p6_max_error_bound_ratio,pointwise_p8_checks,pointwise_p8_violations,pointwise_p8_max_error_bound_ratio,max_abs_tanh_at_reference_slope_gradient_defect
core_N128_s0,sine,0,128,0,0.0001,73,99980,-5.551115123125783e-17,1.8742622022978131e-16,0.0,2.735207497948866e-12,,1.1102230246251565e-16,1.290564584400913e-15,0.0,4.102861900415252e-06,73,0,0.19180118750338174,73,0,0.10198169622602356,73,0,0.06082466599615305,73,0,0.03947202995610766,
core_N128_s0,sine,0,128,0,0.001,73,99980,0.0,2.201492087534695e-16,0.0,2.7850311812634118e-12,,1.1102230246251565e-16,1.2581766417469688e-15,0.0,3.950987224953126e-06,73,0,0.19180118750338174,73,0,0.10198169622602356,73,0,0.06082466599615305,73,0,0.03947202995610766,
core_N128_s0,sine,0,128,0,0.01,73,99980,2.7755575615628914e-17,2.0077439691491669e-16,0.0,2.7845678698268687e-12,,5.551115123125783e-17,1.258220031138441e-15,0.0,2.5038253357986544e-06,73,0,0.19180118750338174,73,0,0.10198169622602356,73,0,0.06082466599615305,73,0,0.03947202995610766,
core_N128_s0,sine,0,128,0,0.1,73,99980,-2.7755575615628914e-17,1.989585612932501e-16,0.0,3.3487749760747525e-12,,5.551115123125783e-17,1.2500602226680112e-15,0.0,1.4209725200861253e-05,73,0,0.19180118750338174,73,0,0.10198169622602356,73,0,0.06082466599615305,73,0,0.03947202995610766,
core_N128_s0,sine,0,128,0,1.0,73,99980,0.0,1.9247603002858393e-16,0.0,6.6527890465464525e-12,,1.1102230246251565e-16,1.2431790410803511e-15,0.0,0.00017625056681835514,73,0,0.19210623888395054,73,0,0.10198871627620086,73,0,0.06082466599615305,73,0,0.03947202995610766,
core_N128_s0,sine,0,128,0,10.0,73,99980,0.0,2.075419639053169e-16,0.0,4.908893205094757e-10,,5.551115123125783e-17,1.2180445578231826e-15,0.0,0.0017972966284809106,73,0,0.19299615465088346,73,0,0.10232924861910503,73,0,0.060848001602655646,73,0,0.03947202995610766,
core_N128_s0,sine,0,128,0,100.0,73,99980,0.0,5.529087734471621e-16,0.0,1.4929030546313995e-06,,5.551115123125783e-17,1.1939758769471066e-15,0.0,0.018007807448477197,73,0,0.19319479006243426,73,0,0.10198169622602356,73,0,0.06082466599615305,73,0,0.03947202995610766,
core_N128_s0,runge,0,128,0,0.0001,73,99980,0.0,1.5677783954280886e-16,0.0,7.311480337797884e-10,,5.551115123125783e-17,1.824619441948811e-15,0.0,7.422613550661857e-06,73,0,0.11773110936882743,73,0,0.06367682740672771,73,0,0.03929797617219136,73,0,0.026174585541202826,
core_N128_s0,runge,0,128,0,0.001,73,99980,0.0,1.4836622072504933e-16,0.0,7.249850517223979e-10,,2.7755575615628914e-17,1.847680490149992e-15,0.0,7.176905344461035e-06,73,0,0.11775234126241159,73,0,0.06368811608994801,73,0,0.03930472446090324,73,0,0.026179960105378458,
core_N128_s0,runge,0,128,0,0.01,73,99980,0.0,1.421847028670734e-16,0.0,6.618559912165143e-10,,5.551115123125783e-17,1.8354723302413703e-15,0.0,5.031205216861741e-06,73,0,0.11796024073066731,73,0,0.06379867778297886,73,0,0.039370820405768586,73,0,0.026233029547566754,
core_N128_s0,runge,0,128,0,0.1,73,99980,-6.938893903907228e-18,1.45711462619141e-16,0.0,1.1259152559831992e-10,,2.7755575615628914e-17,1.8308141186813956e-15,0.0,2.7038681344811233e-05,73,0,0.11960635367888453,73,0,0.06468553571777572,73,0,0.04004648350999569,73,0,0.026701170078219285,
core_N128_s0,runge,0,128,0,1.0,73,99980,0.0,1.7959947006472746e-16,0.0,2.1999283806688055e-08,,5.551115123125783e-17,1.7014754525305098e-15,0.0,0.0003233597593474436,73,0,0.1272940851997859,73,0,0.06925688220138167,73,0,0.04326076704855879,73,0,0.02913390434686104,
core_N128_s0,runge,0,128,0,10.0,73,99980,0.0,2.5316366499940637e-16,0.0,2.7842542786653985e-09,,2.7755575615628914e-17,1.7014754525305098e-15,0.0,0.003289397068753115,73,0,0.1338420677093559,73,0,0.07330720527362242,73,0,0.04628379095940879,73,0,0.031600274256084346,
core_N128_s0,runge,0,128,0,100.0,73,99980,6.938893903907228e-18,5.152867186224105e-16,0.0,2.016829534738802e-08,,1.3877787807814457e-17,1.7014754525305098e-15,0.0,0.0329500008957716,73,0,0.14398701783818,73,0,0.07891412356658675,73,0,0.0498410968847395,73,0,0.03402314944823142,
core_N128_s0,moment3,0,128,0,0.0001,73,99980,5.551115123125783e-17,3.571167126317442e-16,0.0,2.2105261345914702e-11,,2.220446049250313e-16,1.1796131354963602e-15,0.0,5.4714805184639105e-06,73,0,0.14838125355401674,73,0,0.11617679374219776,73,0,0.08725873138307663,73,0,0.06597801800359197,
core_N128_s0,moment3,0,128,0,0.001,73,99980,0.0,3.566672600655428e-16,0.0,2.182130008789901e-11,,1.1102230246251565e-16,1.2011194360871905e-15,0.0,5.309201667885511e-06,73,0,0.14838688974208467,73,0,0.1161815857426202,73,0,0.08726251138117022,73,0,0.06598280072482973,
core_N128_s0,moment3,0,128,0,0.01,73,99980,0.0,3.357514895011054e-16,0.0,1.9056364924842022e-11,,1.1102230246251565e-16,1.1662016107331585e-15,0.0,3.938864189303252e-06,73,0,0.14844181961213182,73,0,0.11622835479592973,73,0,0.08730193315765243,73,0,0.06602994194716012,
core_N128_s0,moment3,0,128,0,0.1,73,99980,5.551115123125783e-17,2.996178971858634e-16,0.0,3.527237590430195e-11,,2.220446049250313e-16,1.192301996146836e-15,0.0,1.926044846225975e-05,73,0,0.14889746829326406,73,0,0.11659023870772796,73,0,0.08770765019907378,73,0,0.06644361098272861,
core_N128_s0,moment3,0,128,0,1.0,73,99980,5.551115123125783e-17,3.144248732076661e-16,0.0,2.7222233346298907e-09,,1.1102230246251565e-16,1.130095848044215e-15,0.0,0.00022834942615317883,73,0,0.151250095739807,73,0,0.11843712577953547,73,0,0.08952192837524701,73,0,0.06838694124536412,
core_N128_s0,moment3,0,128,0,10.0,73,99980,0.0,2.730506938703439e-16,0.0011089777542372882,8.851555387169445e-08,,1.1102230246251565e-16,1.0837562633408314e-15,0.0014951889124293785,0.002321996499453022,73,0,0.15381936837846,73,0,0.12027096098116959,73,0,0.09093180851640861,73,0,0.06957706823990874,
core_N128_s0,moment3,0,128,0,100.0,73,99980,6.071532165918825e-18,2.0927095577753745e-15,0.0,3.250246588268891e-08,,5.551115123125783e-17,2.0927095577753745e-15,1.6551906779661017e-05,0.02325869393061465,73,0,0.156152003774597,73,0,0.12202373143163442,73,0,0.09216047928670584,73,0,0.0710019128328162,
core_N128_s0,moment5,0,128,0,0.0001,73,99980,0.0,2.103371398287621e-16,0.0,6.996643049216074e-14,,1.1102230246251565e-16,1.4037947186273181e-15,0.0,5.45386172872816e-06,73,0,0.04017776314573118,73,0,0.04184310951876699,73,0,0.04091801937380648,73,0,0.037031733190780895,
core_N128_s0,moment5,0,128,0,0.001,73,99980,-5.551115123125783e-17,2.0672045662265927e-16,0.0,3.486048606012497e-14,,2.220446049250313e-16,1.3803145259884442e-15,0.0,5.292048086830321e-06,73,0,0.04017776314573118,73,0,0.04184515243128784,73,0,0.0409204744453579,73,0,0.03703427466792764,
core_N128_s0,moment5,0,128,0,0.01,73,99980,5.551115123125783e-17,2.078479899798228e-16,0.0,4.63438235648011e-14,,1.1102230246251565e-16,1.4395991429346171e-15,0.0,3.9271284452476985e-06,73,0,0.04017776314573118,73,0,0.04186540284357591,73,0,0.04094471273679525,73,0,0.03705934296479112,
core_N128_s0,moment5,0,128,0,0.1,73,99980,0.0,2.1345474080244589e-16,0.0,8.63633777774573e-14,,1.1102230246251565e-16,1.4181760032127357e-15,0.0,1.9237433056234958e-05,73,0,0.04018593066998177,73,0,0.042050352205576756,73,0,0.04115703295037101,73,0,0.03730000488267043,
core_N128_s0,moment5,0,128,0,1.0,73,99980,0.0,2.0577705793565302e-16,0.0,5.502193860077915e-14,,1.1102230246251565e-16,1.3605656729182565e-15,0.0,0.00022795992812662467,73,0,0.04055242130647929,73,0,0.04300710744820232,73,0,0.04218841789031007,73,0,0.03844916372070248,
