target,kappa,seed,n,m,eta_geometry,eta_readout,bundle,degree,requested_end,trace_states,completed_updates,failed_update,complete,checkpoint_step,initial_mean_gamma,mean_gamma,median_gamma,mean_lambda,signed_mean_change,last_preupdate_mse,window_mean_mse,window_median_mse,heldout_mse,heldout_relative_l2,initial_coarse_norm,last_coarse_norm,normalized_slope_gradient,cumulative_coarse_motion,cumulative_remainder_motion,cumulative_crossing_remainder,recorded_signed_motion,loss_increases,max_preactivation,first_radius_exceedance,descent_ratio_floor,descent_ratio_count,descent_ratio_min,descent_ratio_median,coarse_10pct_step,coarse_10pct_persists20,coarse_10pct_mean_gamma,coarse_1pct_step,coarse_1pct_persists20,coarse_1pct_mean_gamma,fraction_gamma_1,fraction_gamma_1_population0.1_step,fraction_gamma_1_population0.5_step,fraction_gamma_4,fraction_gamma_4_population0.1_step,fraction_gamma_4_population0.5_step,fraction_gamma_16,fraction_gamma_16_population0.1_step,fraction_gamma_16_population0.5_step,fraction_lambda_005,fraction_lambda_005_population0.1_step,fraction_lambda_005_population0.5_step,fraction_lambda_01,fraction_lambda_01_population0.1_step,fraction_lambda_01_population0.5_step,fraction_lambda_025,fraction_lambda_025_population0.1_step,fraction_lambda_025_population0.5_step
sine,0.0001,0,128,2048,0.002,2.0000000000000002e-07,core_N128_s0,0,100000,100000,100000,0,True,100000,0.08804407411763386,0.08177398854858713,0.07501976872381161,0.0012777185710716738,-0.006270085569046735,0.4243734024005371,0.4243865127250651,0.4243864076882506,0.42437363971639597,0.9212748121124293,0.6225231050928665,0.0006563862213478991,0.0008640266684903974,-0.0023486551469181433,-0.003925400800060314,3.970377931715082e-06,-0.006270085569046742,0,0.40636588763039216,,1e-24,99999,0.9985072572749542,0.9999986771887679,1529,True,0.08460651849123461,3268,True,0.08469438447921483,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.001,0,128,2048,0.002,2e-06,core_N128_s0,0,100000,100000,100000,0,True,100000,0.08804407411763386,0.0817796394126198,0.07509787570063634,0.0012778068658221844,-0.00626443470501406,0.4243732996646744,0.4243864104189558,0.42438630536072264,0.424373536980761,0.9212747005977762,0.6225231050928665,0.0006564947791746941,0.0008639721887142856,-0.00234340471004487,-0.003924801830181168,3.771835211979393e-06,-0.006264434705014058,0,0.40632550086136887,,1e-24,99999,0.9985050463065097,0.9999986768523293,1528,True,0.08461154214492507,3266,True,0.08469875719062236,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.01,0,128,2048,0.002,2e-05,core_N128_s0,0,100000,100000,100000,0,True,100000,0.08804407411763386,0.08183526592463325,0.07587454434268313,0.0012786760300723945,-0.006208808193000612,0.42437226271216,0.42438537754460376,0.42438527227912903,0.4243725000306241,0.9212735750368878,0.6225231050928665,0.0006575308062764905,0.0008634167666040225,-0.002293291818889663,-0.003918754402751469,3.2380286405201857e-06,-0.006208808193000612,0,0.4059229750709804,,1e-24,99999,0.9984829514542705,0.9999986738349469,1518,True,0.08466101742285274,3243,True,0.08474163368270608,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.1,0,128,2048,0.002,0.0002,core_N128_s0,0,100000,100000,100000,0,True,100000,0.08804407411763386,0.08232675576921367,0.07699040658984108,0.0012863555588939635,-0.0057173183484201945,0.424361130116541,0.424374269095911,0.42437416238166425,0.4243613674669985,0.9212614910729727,0.6225231050928665,0.0006635159725661264,0.0008571043805948975,-0.0018689076235965162,-0.003853840738141692,5.430013318010803e-06,-0.005717318348420197,0,0.40203787519730716,,1e-24,99999,0.9982633254643877,0.9999986450975101,1419,True,0.08508582860677845,3026,True,0.08518928672423252,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,1.0,0,128,2048,0.002,0.002,core_N128_s0,0,100000,100000,100000,0,True,100000,0.08804407411763386,0.08515076317595846,0.08912074605241366,0.001330480674624351,-0.0028933109416754005,0.4242568598383275,0.42426993184428374,0.4242698352647166,0.42425709763251024,0.921148302536036,0.6225231050928665,0.0005873905332641461,0.0008112514572930888,0.0003509175390216921,-0.0032468451381611483,2.6166574640437875e-06,-0.002893310941675412,0,0.38254876876988286,,1e-24,99999,0.9961268052861217,0.9999986201540536,842,True,0.08668597729418513,1781,True,0.08695689596451843,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,10.0,0,128,2048,0.002,0.02,core_N128_s0,0,100000,100000,100000,0,True,100000,0.08804407411763386,0.08701807303129729,0.08811821735126835,0.00135965739111402,-0.0010260010863365754,0.4240499453121942,0.4240724148977064,0.42407260817116543,0.42405018290467084,0.9209236481974723,0.6225231050928665,0.0004498314095827615,0.0008778654291986703,0.0011828692737905256,-0.0022090671272878425,1.9676716074224052e-07,-0.0010260010863365743,0,0.3640940004313403,,1e-24,99999,0.9752208938858105,0.9999998953039403,160,True,0.08783825925511507,338,True,0.08791007996884125,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,100.0,0,128,2048,0.002,0.2,core_N128_s0,0,100000,100000,100000,0,True,100000,0.08804407411763386,0.10515222009145862,0.09965422801058627,0.001643003438929041,0.017108145973824762,0.31326495033612434,0.3929952601657245,0.41443454963997406,0.3132638958634604,0.7915350855943916,0.6225231050928665,0.00041661080064729503,0.03765200949632071,0.009724913334467213,0.007383231621395144,1.0179624063008138e-09,0.017108145973824762,0,1.2973879550046612,,1e-24,99999,0.7665818009549175,1.0000087617680713,17,True,0.0880206523367554,35,True,0.08802877318257848,0.005649717514124294,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.0001,0,128,2048,0.002,2.0000000000000002e-07,core_N128_s0,0,100000,100000,100000,0,True,100000,0.08804407411763386,0.09324819249611752,0.07895308667308794,0.0014570030077518362,0.005204118378483655,0.07732323730895957,0.07790650189905625,0.07792220097241709,0.07732317229579296,0.702747618656189,0.6667640510156251,0.0008906930047493473,0.012918194246143214,-0.0028610546990635376,0.008063718328457809,1.454749089378155e-06,0.005204118378483649,0,0.7054508253799527,,1e-24,99999,0.997978229167425,1.000003347320757,937,True,0.08553174633936692,2578,True,0.08510648514577838,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.001,0,128,2048,0.002,2e-06,core_N128_s0,0,100000,100000,100000,0,True,100000,0.08804407411763386,0.09325312568319101,0.0789549109759415,0.0014570800887998595,0.005209051565557149,0.0773181464402929,0.07790298602746182,0.07791877123769855,0.07731808122670128,0.7027244833174079,0.6667640510156251,0.0008923255465259678,0.012933217847513721,-0.002857229278983626,0.008064966835404043,1.314009136719472e-06,0.005209051565557137,0,0.7057886579617786,,1e-24,99999,0.9979753221899367,1.0000033529298424,936,True,0.08553362852709848,2576,True,0.0851088863098397,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.01,0,128,2048,0.002,2e-05,core_N128_s0,0,100000,100000,100000,0,True,100000,0.08804407411763386,0.09330212697253545,0.07897270808344492,0.0014578457339458665,0.005258052854901593,0.07726701977874478,0.07786776328556017,0.07788442593976988,0.07726695253653389,0.7024920970269296,0.6667640510156251,0.0009089083344154934,0.013084179640092862,-0.002820892445801013,0.00807768402328369,1.2612774189053884e-06,0.005258052854901583,0,0.7091563120855535,,1e-24,99999,0.9979462839676192,1.0000034078205104,929,True,0.08555016708620858,2559,True,0.08513255716061272,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
