campaign,optimizer,coordinates,eta,n,seed,key,step,completed_updates,failed_update,status,train_mse,validation_mse,advance_seconds,comparison_step,eligible,window_mean_mse,window_std_mse,window_min_mse,window_max_mse,previous_mean_mse,core_abs_lambda_median_at_100k,physical_readout_norm_at_100k
parameter_scale,adam,parameter_scale,0.001,1024,0,adam_N1024_s0_parameter_scale_eta0.001,100000,100000,,continuing,1.9314245638982194e-07,1.9164666235377807e-07,49.71914336364716,100000,True,1.4377737593720644e-05,4.052556239319056e-05,1.2681860867474472e-07,0.00045669220523924414,1.9091062327653686e-05,0.01596225237953657,2.8913828035180127
parameter_scale,adam,parameter_scale,0.003,1024,0,adam_N1024_s0_parameter_scale_eta0.003,2300000,2300000,,continuing,1.5756227159720359e-06,1.5756388461507554e-06,28.239233415573835,100000,True,1.608572704227746e-06,6.8568989409713896e-06,1.5663460370946483e-08,8.241954283713462e-05,1.9619717530733403e-06,0.10084103937626346,1.299989745606005
parameter_scale,adam,scaled,0.001,1024,0,adam_N1024_s0_scaled_eta0.001,2300000,2300000,,continuing,1.4184730453299392e-07,1.4185520480677262e-07,25.475267941132188,100000,True,1.9771458706992425e-06,4.733820666371301e-06,2.533123852104612e-09,5.665825453980624e-05,2.098908034957509e-06,0.03456744440880559,0.44618612453277373
parameter_scale,adam,scaled,0.003,1024,0,adam_N1024_s0_scaled_eta0.003,100000,100000,,continuing,0.0001232190215480081,0.00012322578389278133,51.10224577412009,100000,True,1.6375396377341016e-05,5.270299204665398e-05,6.670632604001351e-11,0.0007434917732531417,1.6244897257013746e-05,0.11222304371836392,0.24162340016853576
parameter_scale,adam,parameter_scale,0.001,1024,1,adam_N1024_s1_parameter_scale_eta0.001,100000,100000,,continuing,7.219866126333353e-06,7.215946675344022e-06,46.29380454868078,100000,True,1.8031599787359658e-05,3.960472381776711e-05,3.756620562881113e-07,0.0005124966377689711,2.5681961264959813e-05,0.013953903917379227,3.909579202930945
parameter_scale,adam,parameter_scale,0.003,1024,1,adam_N1024_s1_parameter_scale_eta0.003,2300000,2300000,,continuing,1.2889084232482086e-10,1.1993235258009197e-10,25.2534895343706,100000,True,1.56202289983478e-06,5.84064105434614e-06,9.424720388176257e-09,7.335288954624009e-05,2.141288794960776e-06,0.11629933144166694,1.2726572751084446
parameter_scale,adam,scaled,0.001,1024,1,adam_N1024_s1_scaled_eta0.001,2300000,2300000,,continuing,1.1482219900878147e-06,1.1482880440539212e-06,8.535777220502496,100000,True,1.7675942019092592e-06,4.28292626169318e-06,1.7866209109284785e-09,4.934283716360272e-05,1.8138134537370753e-06,0.03737929797674784,0.3486956245030402
parameter_scale,adam,scaled,0.003,1024,1,adam_N1024_s1_scaled_eta0.003,100000,100000,,continuing,3.865562441890649e-09,3.8657449788005515e-09,47.548106151632965,100000,True,1.6346930455401944e-05,5.070141778867456e-05,9.588726681096039e-11,0.0007549522445263865,1.628578585520785e-05,0.11162393454690946,0.23551542610336818
parameter_scale,adam,parameter_scale,0.0001,512,0,adam_N512_s0_parameter_scale_eta0.0001,100000,100000,,continuing,0.10035054033682014,0.10024836367189673,86.55201052408665,100000,True,0.10603389240076376,0.0034348146100287536,0.10035105199113208,0.11459028780487825,0.12040499783011055,0.002720784851344288,3.5975087921963063
parameter_scale,adam,parameter_scale,0.00030000000000000003,512,0,adam_N512_s0_parameter_scale_eta0.0003,100000,100000,,continuing,0.0009729799285281551,0.0009727707742580063,86.71047293767333,100000,True,0.0021157149542934597,0.0010539124335718145,0.0009730372067729588,0.01800257091006776,0.004919552091853454,0.0039006753377778683,5.452845542430878
parameter_scale,adam,parameter_scale,0.001,512,0,adam_N512_s0_parameter_scale_eta0.001,100000,100000,,continuing,3.873689314011806e-06,3.873733295681858e-06,86.88557806238532,100000,True,3.6008800382453495e-05,0.00019445995117734133,3.222357666772981e-06,0.003824517784724588,5.424077442339329e-05,0.017744535859549236,3.703103536107028
parameter_scale,adam,parameter_scale,0.003,512,0,adam_N512_s0_parameter_scale_eta0.003,2300000,2300000,,continuing,1.949789127248567e-06,1.9495306779218932e-06,14.946006073616445,100000,True,8.53115554082857e-06,4.57715575847742e-05,8.233994563143575e-08,0.0006817251667451076,1.0715703499059686e-05,0.154506303333382,2.5282619749000994
parameter_scale,adam,parameter_scale,0.01,512,0,adam_N512_s0_parameter_scale_eta0.01,100000,100000,,continuing,8.883466482156053e-05,8.884053258139233e-05,87.26120524294674,100000,True,2.5566392024199356e-05,0.00011388427445362096,1.0769397216172525e-08,0.001545376763400004,2.5308928735628044e-05,0.19826658218031856,0.831867962934218
