target,kappa,seed,n,m,eta_geometry,eta_readout,bundle,degree,requested_end,trace_states,completed_updates,failed_update,complete,checkpoint_step,initial_mean_gamma,mean_gamma,median_gamma,mean_lambda,signed_mean_change,last_preupdate_mse,window_mean_mse,window_median_mse,heldout_mse,heldout_relative_l2,initial_coarse_norm,last_coarse_norm,normalized_slope_gradient,cumulative_coarse_motion,cumulative_remainder_motion,cumulative_crossing_remainder,recorded_signed_motion,loss_increases,max_preactivation,first_radius_exceedance,descent_ratio_floor,descent_ratio_count,descent_ratio_min,descent_ratio_median,coarse_10pct_step,coarse_10pct_persists20,coarse_10pct_mean_gamma,coarse_1pct_step,coarse_1pct_persists20,coarse_1pct_mean_gamma,fraction_gamma_1,fraction_gamma_1_population0.1_step,fraction_gamma_1_population0.5_step,fraction_gamma_4,fraction_gamma_4_population0.1_step,fraction_gamma_4_population0.5_step,fraction_gamma_16,fraction_gamma_16_population0.1_step,fraction_gamma_16_population0.5_step,fraction_lambda_005,fraction_lambda_005_population0.1_step,fraction_lambda_005_population0.5_step,fraction_lambda_01,fraction_lambda_01_population0.1_step,fraction_lambda_01_population0.5_step,fraction_lambda_025,fraction_lambda_025_population0.1_step,fraction_lambda_025_population0.5_step
sine,0.0001,0,128,2048,0.002,2.0000000000000002e-07,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.07821070971891687,0.08015677548200024,0.0012220423393580762,-0.009833364398716987,0.42400539167367074,0.4240133599944681,0.42401340876063165,0.4240056308751193,0.9208752693770414,0.6225231050928665,0.0005269116844492194,0.0006937454946259005,0.005622169160373609,-0.01545951198623993,3.97842714933467e-06,-0.009833364398716989,0,0.40636588763039216,,1e-24,599999,0.9985072572749542,0.9999995056778498,1529,True,0.08460651849123461,3268,True,0.08469438447921483,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.001,0,128,2048,0.002,2e-06,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.07822614184674362,0.08015193941137162,0.001222283466355369,-0.009817932270890242,0.42400510337162056,0.42401308816098215,0.42401313718948697,0.4240053425720267,0.9208749563019147,0.6225231050928665,0.0005272418884884846,0.0006944181704695468,0.0056328376704239,-0.01545454932660885,3.779385294702726e-06,-0.00981793227089025,0,0.40632550086136887,,1e-24,599999,0.9985050463065097,0.9999995064327063,1528,True,0.08461154214492507,3266,True,0.08469875719062236,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.01,0,128,2048,0.002,2e-05,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.0783795499833145,0.08010310385918204,0.0012246804684892892,-0.009664524134319355,0.4240021674172473,0.42401032139865186,0.42401037314113893,0.4240024066069323,0.9208717680621252,0.6225231050928665,0.0005305371156137501,0.0007012981916861231,0.005736570557169716,-0.015404339911604925,3.2452201158382137e-06,-0.009664524134319372,0,0.4059229750709804,,1e-24,599999,0.9984829514542705,0.9999995119020367,1518,True,0.08466101742285274,3243,True,0.08474163368270608,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,0.1,0,128,2048,0.002,0.0002,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.08000813057620271,0.08160912352392982,0.0012501270402531673,-0.008035943541431154,0.4239671351798454,0.42397750590058786,0.4239775960336021,0.4239673742250511,0.9208337246485394,0.6225231050928665,0.0005632025548793365,0.0007864258218503733,0.006809342100644163,-0.014850720392270691,5.434750195369087e-06,-0.00803594354143116,0,0.40203787519730716,,1e-24,599999,0.9982633254643877,0.9999995784499243,1419,True,0.08508582860677845,3026,True,0.08518928672423252,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,1.0,0,128,2048,0.002,0.002,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.1085277335811628,0.10227114461181887,0.0016957458372056687,0.02048365946352894,0.3887007387263822,0.408787206176411,0.4112728668783161,0.3886971579987188,0.8816996744909446,0.6225231050928665,0.008813112674959779,0.04235336141125501,0.02375479608377136,-0.0032737771970823885,2.6405768399697097e-06,0.02048365946352894,0,1.4044991242046352,,1e-24,599999,0.9961268052861217,1.0000007207980606,842,True,0.08668597729418513,1781,True,0.08695689596451843,0.005649717514124294,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
sine,10.0,0,128,2048,0.002,0.02,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.1528458169584723,0.11303886329014501,0.0023882158899761296,0.06480174284083844,0.041694283146452085,0.043341224953962275,0.043337147826171346,0.04169427710118251,0.28877076410600333,0.6225231050928665,0.0006092258260675593,0.021124725967526486,0.01188854872627207,0.05291295090778945,2.432067769249367e-07,0.06480174284083844,0,5.957046977194634,263576,1e-24,599999,0.9752208938858105,0.9999995089021534,160,True,0.08783825925511507,338,True,0.08791007996884125,0.01694915254237288,,,0.005649717514124294,,,0.0,,,0.005649717514124294,,,0.0,,,0.0,,
sine,100.0,0,128,2048,0.002,0.2,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.12879740872067083,0.11322654642435646,0.0020124595112604817,0.04075333460303697,0.005946096496499589,0.00806262006016129,0.006042385784921804,0.005946080764736759,0.10905118765732685,0.6225231050928665,0.00016897271686385548,0.014348086687824429,0.024837867697267393,0.015915463586082826,3.3196867401204467e-09,0.040753334603036956,582,4.77529678692812,106562,1e-24,599999,-0.006267156643413055,0.9999979794339767,17,True,0.0880206523367554,35,True,0.08802877318257848,0.011299435028248588,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.0001,0,128,2048,0.002,2.0000000000000002e-07,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.18522900132955136,0.07411576490839442,0.00289420314577424,0.0971849272119175,0.022763916288896943,0.022999849300886756,0.022999092241377955,0.022763897963088434,0.38130093138963006,0.6667640510156251,0.00014835031264451236,0.015801426913446933,-0.0014097131456956387,0.09859318516428689,1.4551933261828033e-06,0.09718492721191745,0,3.1264050537040973,208558,1e-24,599999,0.997978229167425,0.999999302674725,937,True,0.08553174633936692,2578,True,0.08510648514577838,0.03954802259887006,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.001,0,128,2048,0.002,2e-06,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.18406060648940434,0.07379267861073094,0.0028759469763969428,0.09601653237177048,0.02235439707225439,0.02259827102739096,0.02259754188788625,0.022354377872724752,0.37785558421600224,0.6667640510156251,0.00015095024713216538,0.01602762018329383,-0.0013055989221093032,0.0973208165728123,1.3147210674634305e-06,0.09601653237177046,0,3.1522163702438695,208060,1e-24,599999,0.9979753221899367,0.9999993431391807,936,True,0.08553362852709848,2576,True,0.0851088863098397,0.03954802259887006,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.01,0,128,2048,0.002,2e-05,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.17467363050261836,0.0767832648586429,0.002729275476603412,0.0866295563849845,0.01895594411141782,0.01926290227286614,0.01926227863748174,0.018955917855098512,0.347950095472537,0.6667640510156251,0.00020623981093278472,0.018394177316688028,-0.000641065184325539,0.0872693581200545,1.263449255546324e-06,0.08662955638498451,0,3.352045188601322,203498,1e-24,599999,0.9979462839676192,0.9999995701685163,929,True,0.08555016708620858,2559,True,0.08513255716061272,0.02824858757062147,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,0.1,0,128,2048,0.002,0.0002,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.14624212031215478,0.07921645756148847,0.0022850331298774184,0.05819804619452092,0.013282212108430233,0.013654578116057322,0.013654541392519063,0.013282178334085331,0.2912588996767602,0.6667640510156251,0.0007546822101724592,0.022678404266333742,-0.000932075454776812,0.059129411096886,7.105524117306108e-07,0.05819804619452092,0,3.6092947021747643,175150,1e-24,599999,0.9976586621629158,0.999999994081056,867,True,0.08572134455419464,2392,True,0.08534762133194186,0.01694915254237288,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
runge,1.0,0,128,2048,0.002,0.002,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.12554883303297096,0.08613079360122779,0.001961700516140171,0.0375047589153371,0.007468273838032228,0.008032405886690776,0.00802608868211457,0.007468220344723539,0.21840024061102775,0.6667640510156251,0.0008719224015174016,0.0344914387247287,-0.0031877838114860195,0.040691859339117384,6.833877057319238e-07,0.0375047589153371,0,4.368236292979964,117858,1e-24,599999,0.9948961102910034,1.000000204253063,510,True,0.08668369561174523,1422,True,0.08648808487220903,0.011299435028248588,,,0.0,,,0.0,,,0.005649717514124294,,,0.0,,,0.0,,
runge,10.0,0,128,2048,0.002,0.02,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.128700734027834,0.09660501250577003,0.002010948969184906,0.040656659910200135,0.004062690416539034,0.004112309906417617,0.00411217674397335,0.0040626910320974135,0.1610836451671007,0.6667640510156251,0.0001037563280535303,0.014692699869184362,0.0022782246247980576,0.038378421747603884,1.353779820762559e-08,0.04065665991020015,0,3.8941299478800255,106621,1e-24,599999,0.9680231583115958,1.000000078971903,97,True,0.08779874448321186,270,True,0.08776087211282536,0.01694915254237288,,,0.0,,,0.0,,,0.005649717514124294,,,0.0,,,0.0,,
runge,100.0,0,128,2048,0.002,0.2,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.11926803645205637,0.088575776905916,0.0018635630695633808,0.03122396233442251,0.0035173979586395968,0.0035836624277693603,0.0035833690231539777,0.003517394962348764,0.14988394646488543,0.6667640510156251,2.702314368331655e-05,0.021053051150506867,-0.0003619464780332099,0.03158590731128273,1.5011729790964451e-09,0.031223962334422498,0,3.339856904616476,128277,1e-24,599999,0.6998902610719315,0.9999996332368911,10,True,0.08801715160933823,28,True,0.08801368945568923,0.011299435028248588,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
moment3,0.0001,0,128,2048,0.002,2.0000000000000002e-07,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.3502072837376293,0.18055730731181402,0.005471988808400458,0.26216320961999545,0.3350961346871386,0.33916262056339946,0.3391324205942883,0.33509731543246307,0.5788749774903109,0.6661118349881163,0.0053191581616209085,0.01614311254369147,0.22402611783428147,0.0381366887268852,4.030588287383648e-07,0.2621632096199954,0,4.507337204824178,241207,1e-24,599999,0.997934405429554,0.9999990432207159,728,True,0.09006827409535846,2646,True,0.09117495774792143,0.062146892655367235,,,0.01694915254237288,,,0.0,,,0.03954802259887006,,,0.0,,,0.0,,
moment3,0.001,0,128,2048,0.002,2e-06,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.36484967116080186,0.21153430489016622,0.005700776111887529,0.276805597043168,0.2611275980240586,0.26621979029650344,0.266171472413287,0.2611285044234798,0.5110065225030966,0.6661118349881163,0.007031069878354427,0.01520817476130895,0.260663620510343,0.01614155382067487,4.2271215007162693e-07,0.276805597043168,0,4.68704935102965,240542,1e-24,599999,0.9979315355976383,0.9999993928824867,727,True,0.09006615048776048,2643,True,0.09117256396429191,0.05649717514124294,,,0.01694915254237288,,,0.0,,,0.03954802259887006,,,0.0,,,0.0,,
moment3,0.01,0,128,2048,0.002,2e-05,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.3653871060382427,0.2980477565789388,0.005709173531847542,0.27734303192060883,0.1350312796319986,0.1374540415978082,0.13749270407946,0.1350319161819591,0.36746630137555425,0.6661118349881163,0.006889317270066196,0.011477451822022894,0.361334686303638,-0.08399198308126185,3.2869823256988754e-07,0.2773430319206087,0,4.728864215226898,234956,1e-24,599999,0.9979028588684984,0.999998994624544,720,True,0.09004998367465374,2619,True,0.09114926910287072,0.03954802259887006,,,0.005649717514124294,,,0.0,,,0.01694915254237288,,,0.0,,,0.0,,
moment3,0.1,0,128,2048,0.002,0.0002,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.3116025464498364,0.30579667572196667,0.004868789788278694,0.22355847233220255,0.03467815640688292,0.03591679233002671,0.03588910521429971,0.034678469058525764,0.18622126011644183,0.6661118349881163,0.0030894968590146144,0.011814365871440372,0.3631398357304547,-0.1395819686389559,6.052407037143231e-07,0.22355847233220255,0,5.338050835282801,208907,1e-24,599999,0.9976179790975109,0.9999985608525455,652,True,0.08989213069875655,2400,True,0.0909354343236662,0.01694915254237288,,,0.005649717514124294,,,0.0,,,0.011299435028248588,,,0.0,,,0.0,,
moment3,1.0,0,128,2048,0.002,0.002,core_N128_s0,0,600000,600000,600000,0,True,600000,0.08804407411763386,0.24258930598117942,0.25176244881958915,0.0037904579059559284,0.15454523186354557,0.006368678879514143,0.006461277331729914,0.006456617643272607,0.0063687811764401026,0.07980451571649039,0.6661118349881163,0.0003748918131021146,0.003921894749731484,0.24644806341357614,-0.09190315746312541,3.2591309485004075e-07,0.15454523186354557,0,3.9566800203012127,148207,1e-24,599999,0.994846634535029,0.9999975696429564,353,True,0.08909214652160068,1341,True,0.08983145162376274,0.011299435028248588,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
