bundle,n,seed,degree,left,right,kappa,count,last_step,last_signed_mean_gamma_difference,last_slope_gradient_difference,last_slope_parameter_difference,last_coarse_residual_difference,max_abs_signed_mean_gamma_difference,max_abs_slope_gradient_difference,max_abs_slope_parameter_difference,max_abs_coarse_residual_difference
core_N128_s0,128,0,0,moment3,moment9,0.0001,76,599980,0.25890057842561276,0.009346307126252201,11.283015724828353,0.005315963899163454,0.25890057842561276,0.021460499793936147,11.283015724828353,0.006625307968151138
core_N128_s0,128,0,0,moment3,moment9,0.001,76,599980,0.27354495982261223,0.0077733380706685815,11.185528701245426,0.0070278510835834725,0.27354495982261223,0.021492958464637,11.185528701245426,0.0075123057356702065
core_N128_s0,128,0,0,moment3,moment9,0.01,76,599980,0.2741110155204881,0.00421772204409154,8.702831829151828,0.006886176942744514,0.2741110155204881,0.021837881517076888,8.799804189233162,0.012331092561581861
core_N128_s0,128,0,0,moment3,moment9,0.1,76,599980,0.22053895504402043,0.002201810626411234,6.437893058916497,0.0030867558720570495,0.22053895504402043,0.03349033381108148,6.437893058916497,0.01728478246945476
core_N128_s0,128,0,0,moment3,moment9,1.0,76,599980,0.15266651415394486,0.0003146797375663697,3.994602027599867,0.00037326612041192693,0.15266651415394486,0.0805027722354494,3.994602027599867,0.031511024869787935
core_N128_s0,128,0,0,moment3,moment9,10.0,76,599980,0.0726611605555615,0.0004234747036611889,1.5107312056060107,0.0001912813939422261,0.0726611605555615,0.061073534816938356,2.058919924146875,0.012424249721263587
core_N128_s0,128,0,0,moment3,moment9,100.0,76,599980,0.04021348366690619,0.006735272189919873,0.9435295344758895,0.056726625959678596,0.04021348366690619,0.08148352269668449,1.4235578575464534,0.09902624074509733
core_N128_s0,128,0,0,moment5,moment9,0.0001,76,599980,0.0002232153662512365,1.1879821340706125e-05,0.014044376164371791,1.0120724517188684e-05,0.0002232153662512365,1.1879821340706125e-05,0.014044376164371791,1.0120724517188684e-05
core_N128_s0,128,0,0,moment5,moment9,0.001,76,599980,0.00022314057845683466,1.1878339593946256e-05,0.014042569472240175,1.0114657637756607e-05,0.00022314057845683466,1.1878339593946256e-05,0.014042569472240175,1.0114657637756607e-05
core_N128_s0,128,0,0,moment5,moment9,0.01,76,599980,0.00022255452683102306,1.186379581616029e-05,0.01402481092307388,1.0054612024995618e-05,0.00022255452683102306,1.186379581616029e-05,0.01402481092307388,1.0054612024995618e-05
core_N128_s0,128,0,0,moment5,moment9,0.1,76,599980,0.00022379885302578617,1.174099313856258e-05,0.013873030274110883,9.509517664390647e-06,0.00022379885302578617,1.174099313856258e-05,0.013873030274110883,9.509517664390647e-06
core_N128_s0,128,0,0,moment5,moment9,1.0,76,599980,0.00021171269291093975,1.1272881643872208e-05,0.013275906488670572,6.6954921606994544e-06,0.00021171269291093975,1.1272881643872208e-05,0.013275906488670572,6.6954921606994544e-06
core_N128_s0,128,0,0,moment5,moment9,10.0,76,599980,0.00021404514305428668,1.099203536233344e-05,0.01290137622500008,3.6568177549729335e-06,0.00021404514305428668,1.099203536233344e-05,0.01290137622500008,3.6568177549729335e-06
