bundle,target,seed,n,degree,kappa,count,last_step,last_gradient_absolute_error,last_gradient_relative_error,last_signed_change_actual,last_signed_change_reference,last_signed_change_absolute_error,last_slope_parameter_l2_error,last_signed_force_actual,last_signed_force_reference,last_residual_moment_l2_error,last_median_gamma_error,max_abs_gradient_absolute_error,max_abs_gradient_relative_error,max_abs_signed_change_actual,max_abs_signed_change_reference,max_abs_signed_change_absolute_error,max_abs_slope_parameter_l2_error,max_abs_signed_force_actual,max_abs_signed_force_reference,max_abs_residual_moment_l2_error,max_abs_median_gamma_error,first_gradient_error_above_5pct
core_N64_s0,sine,0,64,1,0.0001,1019,19980,0.0009589907102186066,1.0000000000051759,0.0035319927877318358,0.004116826367039278,0.0005848335793074422,0.04452157498004059,-1.959880984911615e-05,1.2623868446750389e-14,0.001382802355164089,0.0005323555639548117,0.009797078630145367,1.0000091580985264,0.00415397216509189,0.004116826367039278,0.0005848335793074422,0.04452157498004059,0.002203726394561845,0.0021998779074110662,0.006958719708192885,0.0012822520064532383,0
core_N64_s0,sine,0,64,1,0.001,1019,19980,0.000958897695338663,1.0000000000053475,0.0035305972443686606,0.004114651096539745,0.0005840538521710847,0.0445090294842768,-1.9577150219390738e-05,1.237054331027498e-14,0.0013821132634183905,0.0005890617889787175,0.009797078630145367,1.0000101838280218,0.0041520562972712505,0.004114651096539745,0.0005840538521710847,0.0445090294842768,0.002203730976778205,0.0021998882551748436,0.006958719708192885,0.001298052476290057,0
core_N64_s0,sine,0,64,1,0.01,1019,19980,0.0009579859539826689,1.000000000006461,0.0035165038932785664,0.004092916742804792,0.0005764128495262255,0.04438581144689476,-1.936409436883178e-05,9.931058632317582e-15,0.0013753031608280044,0.0011501087314236547,0.009797078630145367,1.0000234371468997,0.004132855473849395,0.004092916742804792,0.0005764128495262255,0.04438581144689476,0.002203776709394664,0.002199991580096886,0.006958719708192885,0.0014534326042102697,0
core_N64_s0,sine,0,64,1,0.1,1019,19980,0.0009504284491091174,1.0000000000028249,0.0033659904131285445,0.0038792063682190903,0.0005132159550905457,0.04334432145287645,-1.7538741839646086e-05,1.1420730969580386e-15,0.0013144263231557815,-7.840334557612794e-05,0.009797078630145367,1.0004221528083297,0.0039388456512698955,0.0038792063682190903,0.0005132159550905457,0.04334432145287645,0.0022042251048433317,0.0022010096132596296,0.006958719708192885,0.0012115358354867767,0
core_N64_s0,sine,0,64,1,1.0,1019,19980,0.0009269287307555309,1.0000000000008578,0.002056135953677346,0.0023868939784083554,0.00033075802473100935,0.03977537488381273,-1.0748481431853907e-05,1.0257027092326614e-16,0.0010348740852816488,0.0002353496866003557,0.009797078630145367,1.010433932018706,0.0024736407262299365,0.0023868939784083554,0.00033075802473100935,0.03977537488381273,0.0022078395356385267,0.00220972233982276,0.006958719708192885,0.00042965617459272964,0
core_N64_s0,sine,0,64,1,10.0,1019,19980,0.0009191273424835475,1.0000000000001212,0.00013004686586787217,0.000492505608575361,0.0003624587427074888,0.03785291146675694,-5.709716007134415e-06,1.0214715461600837e-17,0.000755354690660588,-6.579698847529458e-05,0.009797078630145367,1.0295151286050932,0.0005084546283332103,0.000492505608575361,0.0003624587427074888,0.03785291146675694,0.0021478134169703182,0.00217142817831603,0.006958719708192885,6.775818004628453e-05,0
core_N64_s0,sine,0,64,1,100.0,1019,19980,0.001836780272402688,1.0,0.0006380131524496846,4.976386922883602e-05,0.0005882492832208486,0.045823623604296655,4.643002666574583e-05,-0.0,0.0007677368304149451,-2.7952782012591326e-05,0.009797078630145367,1.022042018739406,0.0006380131524496846,4.976386922883602e-05,0.0005882492832208486,0.045823623604296655,0.0018886720620429564,0.0018981503346302178,0.006958719708192885,6.208302883423111e-05,0
core_N64_s0,runge,0,64,1,0.0001,1019,19980,0.003777798621459019,1.000000000001594,0.0014580233800160214,-0.0007227921747481464,0.0021808155547641678,0.13624910600183945,7.227499363914005e-05,-1.3341080484238609e-15,0.0021768066057473983,0.0029307004252994706,0.00619030391888555,1.0001134701039947,0.0014580233800160214,0.0007227921747481464,0.0021808155547641678,0.13624910600183945,0.0005128912555107692,0.0005856566377030442,0.008783733524412059,0.004715787780818173,0
core_N64_s0,runge,0,64,1,0.001,1019,19980,0.00377855331119049,1.0000000000015727,0.0014574413197230573,-0.0007228934068749526,0.00218033472659801,0.13627531718889743,7.227404421354668e-05,-1.3115077700837095e-15,0.0021769428225887556,0.0029336255530552496,0.00619030391888555,1.000114799501997,0.0014574413197230573,0.0007228934068749526,0.00218033472659801,0.13627531718889743,0.0005128938012280169,0.0005856566377030442,0.008776204678891314,0.004715830943671631,0
core_N64_s0,runge,0,64,1,0.01,1019,19980,0.0037860104411111795,1.000000000001352,0.0014518508970947086,-0.000723817339210911,0.0021756682363056196,0.13653323567445252,7.226757995257075e-05,-1.0880008039665999e-15,0.0021783368148040453,0.002961754770213626,0.00619030391888555,1.00012842212485,0.0014518508970947086,0.000723817339210911,0.0021756682363056196,0.13653323567445252,0.0005129618853024156,0.0005856566377030442,0.008700913803464206,0.004686708614497756,0
core_N64_s0,runge,0,64,1,0.1,1019,19980,0.0038530708770899025,1.000000000000298,0.001415194732387437,-0.0007257364820457413,0.0021409312144331782,0.13875785287184123,7.245397772892101e-05,-1.8299787525975063e-16,0.0021951483518473512,0.0031474844099101257,0.00619030391888555,1.0002777956519606,0.001415194732387437,0.0007257364820457413,0.0021409312144331782,0.13875785287184123,0.0005165273810303192,0.0005856566377030442,0.008011799451054418,0.0044620671468691,0
core_N64_s0,runge,0,64,1,1.0,1019,19980,0.004289997550819587,1.0000000000000446,0.0016127881371084951,-0.0005586741793909833,0.0021714623164994784,0.1489098046797518,8.236557240625155e-05,-1.5549197183020605e-17,0.002507361000588807,0.0007660843129885381,0.00619030391888555,1.0013357176888371,0.0016127881371084951,0.0005586741793910666,0.0021714623164994784,0.1489098046797518,0.0005870333129085757,0.0006139311250312126,0.006958719708192799,0.0036295683887792446,0
core_N64_s0,runge,0,64,1,10.0,1019,19980,0.0096637773710364,1.0000000000000004,0.004521201711890965,-0.00012083301723747608,0.004642034729128441,0.2148357607310027,0.0002340073364100399,-3.8185307283294027e-19,0.008829340634708442,-0.007872723123824032,0.0096637773710364,1.0021196888188366,0.004521201711890965,0.00012083301723747608,0.004642034729128441,0.2148357607310027,0.0006795479776824016,0.0007062408069582623,0.008829340634708442,0.007872723123824032,0
core_N64_s0,runge,0,64,1,100.0,1019,19980,0.0022655308322687127,1.0,0.012979896676914321,-1.3387438481005098e-05,0.012993284115395326,0.49932972491677957,2.8123773791426135e-05,7.245272353351546e-21,0.10859295682216658,-0.0010162782869173326,0.02591284714837523,1.0010355764479943,0.012979896676914321,1.3387438481005098e-05,0.012993284115395326,0.49932972491677957,0.000755343392495596,0.0007933695142465033,0.10859295682216658,0.002937874810971061,0
core_N64_s0,moment3,0,64,1,0.0001,1019,19980,0.0031919204716055038,1.0000000000012705,-0.0015314022120617304,0.0029553933314899195,0.00448679554355165,0.14898010734219463,-8.528327800167091e-05,3.179994680278305e-14,0.002972799629299805,-0.0004893930537107627,0.01832102539301645,1.0000017950927345,0.00229301777484045,0.0029553933314899195,0.00448679554355165,0.14898010734219463,0.0038742946792171967,0.004036168780101966,0.00933305078494452,0.0013330017614268247,0
core_N64_s0,moment3,0,64,1,0.001,1019,19980,0.0031918174600464528,1.00000000000133,-0.0015362387515964054,0.0029542752755148394,0.004490514027111245,0.14897533259126186,-8.519978480302993e-05,3.106525156962373e-14,0.002972575075771645,-0.0004898135417987504,0.01832102539301645,1.0000019941330596,0.002293105023598724,0.0029542752755148394,0.004490514027111245,0.14897533259126186,0.0038742946792171967,0.004036168780101966,0.009326987016948052,0.001332919615394737,0
core_N64_s0,moment3,0,64,1,0.01,1019,19980,0.003190775263512558,1.0000000000017186,-0.0015847943612584958,0.0029426156751600763,0.004527410036418572,0.14892664004949097,-8.437202475280499e-05,2.4178077272090057e-14,0.002970309870162175,-0.0004939435899453393,0.01832102539301645,1.0000045668219881,0.0022933842634512147,0.0029426156751600763,0.004527410036418572,0.14892664004949097,0.0038742946792171967,0.004036168780101966,0.009267175761652015,0.0013320370216576422,0
core_N64_s0,moment3,0,64,1,0.1,1019,19980,0.003179154674501003,1.0000000000006866,-0.0018407207514328644,0.002785678123291363,0.004626398874724227,0.14835657412647138,-0.00010534296474513736,2.1281509381716984e-15,0.0029457712589769157,-0.0005281384441494508,0.01832102539301645,1.0000943170067225,0.002244160345572621,0.002785678123291363,0.004626398874724227,0.14835657412647138,0.0038742946792171967,0.004036168780101966,0.008816722243597313,0.00141176884325106,0
core_N64_s0,moment3,0,64,1,1.0,1019,19980,0.003044263014357371,1.0000000000001465,-0.002537121943364279,0.0014616342710989938,0.003998756214463273,0.1412309424019557,-8.152985561104352e-05,4.806740334549718e-17,0.002661422352957491,-0.002130535035080705,0.01832102539301645,1.0068913917064608,0.002537121943364279,0.0014616342710997987,0.003998756214463273,0.1412309424019557,0.0038742946792171967,0.004036168780101966,0.009075969281074759,0.002130535035080705,0
core_N64_s0,moment3,0,64,1,10.0,1019,19980,0.0034934313883195622,1.0000000000000182,-0.002565289531127446,0.0004667217993360451,0.003032011330463491,0.1310264863446563,-2.9431130955892255e-05,5.57419095672279e-18,0.002155100742470999,0.002052606218242256,0.01832102539301645,1.0495102642329233,0.002565289531127446,0.0004667217993360451,0.003032011330463491,0.1310264863446563,0.0038742946792171967,0.004036168780101966,0.008768036955873698,0.002052606218242256,0
core_N64_s0,moment3,0,64,1,100.0,1019,19980,0.007351894865332588,1.0,0.04004218193004891,4.8978636666863196e-05,0.039993203293382046,1.3803487115491195,8.582674400576367e-05,-0.0,0.24704101414516902,-0.034112372535290286,0.28061604644007615,1.0248296863171973,0.04004218193004891,4.8978636666863196e-05,0.039993203293382046,1.3901574442805895,0.008798812424874196,0.004036168780101966,0.24704101414516902,0.034112372535290286,0
core_N64_s0,moment5,0,64,1,0.0001,1019,19980,5.149599732639296e-05,0.999999999804941,0.0033235336054518727,0.0029553933314899195,0.00036814027396195326,0.01725048934485616,1.4432478489529239e-06,3.179917398401172e-14,0.0006181169785249067,-0.0004161879249084399,0.015580255964137014,0.999999999804941,0.0033235336054518727,0.0029553933314899195,0.00036814027396195326,0.01732404490509293,0.003891107510213341,0.0040361687801019645,0.0088093640628557,0.0011882160277427306,1180
core_N64_s0,moment5,0,64,1,0.001,1019,19980,5.1481072009689875e-05,0.9999999998046185,0.0033226145343120406,0.0029542752755148116,0.00036833925879722895,0.017238609654521682,1.442338640630328e-06,3.10644776277824e-14,0.0006180184705175184,-0.000415602852075897,0.015580255964137014,0.9999999998046185,0.0033226145343120406,0.0029542752755148116,0.00036833925879722895,0.017312141968071484,0.003891107510213341,0.0040361687801019645,0.008803122883990624,0.001188269763471722,1180
core_N64_s0,moment5,0,64,1,0.01,1019,19980,5.1332897119980065e-05,0.9999999998107917,0.003312887725291619,0.0029426156751600763,0.00037027205013154263,0.017120774078113014,1.4333457931993277e-06,2.4178862351067618e-14,0.0006170376254271989,-0.00040986640093962357,0.015580255964137014,0.9999999998107917,0.003312887725291619,0.0029426156751600763,0.00037027205013154263,0.017194051636994074,0.003891107510213341,0.0040361687801019645,0.008741206772328017,0.00118874032125188,1160
core_N64_s0,moment5,0,64,1,0.1,1019,19980,4.9949340844657104e-05,0.9999999999539381,0.0031703157277475913,0.002785678123291363,0.0003846376044562283,0.016030084425963157,1.3523704594934702e-06,2.129038777528466e-15,0.0006076572531118305,-0.0003620413893929697,0.015580255964137014,0.9999999999539381,0.0031703157277475913,0.002785678123291363,0.0003846376044562283,0.016099326036953056,0.003891107510213341,0.0040361687801019645,0.008198295481170334,0.0011013493087515674,1060
core_N64_s0,moment5,0,64,1,1.0,1019,19980,4.1746666648022575e-05,0.9999999999909827,0.0015710675429802257,0.0014616342710989938,0.00010943327188123186,0.009867648935882909,1.1723944743099063e-06,4.731635016822376e-17,0.0005430974283151645,-0.0002174840698462438,0.015580255964137014,0.9999999999909827,0.0015710675429802257,0.0014616342710997987,0.00010943327188123186,0.009867648935882909,0.003891107510213341,0.0040361687801019645,0.007264358570099131,0.0007375729426804256,600
core_N64_s0,moment5,0,64,1,10.0,1019,19980,3.1535912735990374e-05,0.9999999999977941,0.000530483913435853,0.0004667217993360451,6.376211409980792e-05,0.0023761534830356672,8.554895803878473e-07,5.57419095672279e-18,0.00043093341416392927,9.080475942388477e-05,0.015580255964137014,0.9999999999977943,0.000530483913435853,0.00046672179933607283,6.376211409980792e-05,0.0023761534830356672,0.003891107510213341,0.0040361687801019645,0.007299056730421004,0.00013611638751788446,120
