bundle,target,n,seed,degree,kappa,actual_contrast,predicted_contrast,contrast_error
refine_N128_s0,moment5,128,0,1,0.001,0.0014537286750389983,0.0014018367703015483,-5.189190473744998e-05
refine_N128_s0,moment5,128,0,1,0.01,0.0014282924480470693,0.0013779655620411446,-5.032688600592472e-05
refine_N128_s0,moment5,128,0,1,0.1,0.0011982823103776075,0.0011585653098308835,-3.9717000546724e-05
refine_N128_s0,moment5,128,0,1,1.0,0.0,0.0,0.0
refine_N128_s0,moment5,128,0,1,10.0,-0.0015477342946712686,-0.0014939287584637972,5.3805536207471305e-05
refine_N128_s0,moment5,128,0,1,100.0,-0.0019005106738471667,-0.0018353216658140575,6.518900803310912e-05
refine_N128_s0,moment9,128,0,1,0.0001,0.0014558324170945297,0.0014042442480126788,-5.158816908185093e-05
refine_N128_s0,moment9,128,0,1,0.001,0.001453270209027288,0.0014018367703015344,-5.143343872575368e-05
refine_N128_s0,moment9,128,0,1,0.01,0.0014278592554702457,0.0013779655620411307,-4.989369342911498e-05
refine_N128_s0,moment9,128,0,1,0.1,0.0011978218531145668,0.0011585653098308973,-3.9256543283669454e-05
refine_N128_s0,moment9,128,0,1,1.0,0.0,0.0,0.0
refine_N128_s0,moment9,128,0,1,10.0,-0.0015477134604446607,-0.0014939287584638111,5.3784701980849614e-05
refine_N128_s0,moment9,128,0,1,100.0,-0.0019004410647542463,-0.0018353216658140714,6.511939894017493e-05
refine_N128_s0,sine,128,0,3,0.0001,-0.002461988259550768,-0.002476063616985727,-1.4075357434958913e-05
refine_N128_s0,sine,128,0,3,0.001,-0.0024573629991195417,-0.002471402699656164,-1.403970053662218e-05
refine_N128_s0,sine,128,0,3,0.01,-0.002411942410146861,-0.002425625512145438,-1.3683101998576697e-05
refine_N128_s0,sine,128,0,3,0.1,-0.0019895593161133457,-0.0020031946471320144,-1.3635331018668762e-05
refine_N128_s0,sine,128,0,3,1.0,0.0,0.0,0.0
